"","county","state","population"
"2333","Colleton County","SC",38543
"2334","Darlington County","SC",62833
"2335","Dillon County","SC",28284
"2336","Dorchester County","SC",161975
"2337","Edgefield County","SC",25675
"2338","Fairfield County","SC",20858
"2339","Florence County","SC",136805
"2340","Georgetown County","SC",63440
"2341","Greenville County","SC",526980
"2342","Greenwood County","SC",69380
"2343","Hampton County","SC",18512
"2344","Horry County","SC",353498
"2345","Jasper County","SC",29073
"2346","Kershaw County","SC",65536
"2347","Lancaster County","SC",96652
"2348","Laurens County","SC",67551
"2349","Lee County","SC",16458
"2350","Lexington County","SC",294891
"2351","McCormick County","SC",9513
"2352","Marion County","SC",29043
"2353","Marlboro County","SC",26537
"2354","Newberry County","SC",37715
"2355","Oconee County","SC",78638
"2356","Orangeburg County","SC",83958
"2357","Pickens County","SC",131602
"2358","Richland County","SC",416527
"2359","Saluda County","SC",18830
"2360","Spartanburg County","SC",329364
"2361","Sumter County","SC",105417
"2362","Union County","SC",27148
"2363","Williamsburg County","SC",30902
"2364","York County","SC",283899
"2365","Aurora County","SD",2733
"2366","Beadle County","SD",19146
"2367","Bennett County","SD",3386
"2368","Bon Homme County","SD",6979
"2369","Brookings County","SD",34339
"2370","Brown County","SD",38210
"2371","Brule County","SD",5263
"2372","Buffalo County","SD",1944
"2373","Butte County","SD",10249
"2374","Campbell County","SD",1374
"2375","Charles Mix County","SD",9351
"2376","Clark County","SD",3850
"2377","Clay County","SD",14998
"2378","Codington County","SD",28309
"2379","Corson County","SD",3893
"2380","Custer County","SD",8328
"2381","Davison County","SD",19936
"2382","Day County","SD",5425
"2383","Deuel County","SD",4299
"2384","Dewey County","SD",5226
"2385","Douglas County","SD",2824
"2386","Edmunds County","SD",3977
"2387","Fall River County","SD",6964
"2388","Faulk County","SD",2128
"2389","Grant County","SD",7532
"2390","Gregory County","SD",3994
"2391","Haakon County","SD",1869
"2392","Hamlin County","SD",6167
"2393","Hand County","SD",3130
"2394","Hanson County","SD",3461
"2395","Harding County","SD",1317
"2396","Hughes County","SD",17704
"2397","Hutchinson County","SD",7411
"2398","Hyde County","SD",1258
"2399","Jackson County","SD",2810
"2400","Jerauld County","SD",1657
"2401","Jones County","SD",925
"2402","Kingsbury County","SD",5211
"2403","Lake County","SD",11010
"2404","Lawrence County","SD",25812
"2405","Lincoln County","SD",65613
"2406","Lyman County","SD",3714
"2407","McCook County","SD",5661
"2408","McPherson County","SD",2397
"2409","Marshall County","SD",4300
"2410","Meade County","SD",29853
"2411","Mellette County","SD",1916
"2412","Miner County","SD",2294
"2413","Minnehaha County","SD",197511
"2414","Moody County","SD",6324
"2415","Oglala Lakota County","SD",13672
"2416","Pennington County","SD",109475
"2417","Perkins County","SD",2824
"2418","Potter County","SD",2471
"2419","Roberts County","SD",10257
"2420","Sanborn County","SD",2318
"2421","Spink County","SD",6338
"2422","Stanley County","SD",2976
"2423","Sully County","SD",1446
"2424","Todd County","SD",9319
"2425","Tripp County","SD",5601
"2426","Turner County","SD",8673
"2427","Union County","SD",16832
"2428","Walworth County","SD",5289
"2429","Yankton County","SD",23238
"2430","Ziebach County","SD",2388
"2431","Anderson County","TN",77209
"2432","Bedford County","TN",50302
"2433","Benton County","TN",15812
"2434","Bledsoe County","TN",14930
"2435","Blount County","TN",135566
"2436","Bradley County","TN",108741
"2437","Campbell County","TN",39277
"2438","Cannon County","TN",14547
"2439","Carroll County","TN",28415
"2440","Carter County","TN",56315
"2441","Cheatham County","TN",41087
"2442","Chester County","TN",17347
"2443","Claiborne County","TN",32038
"2444","Clay County","TN",7554
"2445","Cocke County","TN",36022
"2446","Coffee County","TN",58102
"2447","Crockett County","TN",13884
"2448","Cumberland County","TN",61272
"2449","Davidson County","TN",715486
"2450","Decatur County","TN",11402
"2451","DeKalb County","TN",20171
"2452","Dickson County","TN",54432
"2453","Dyer County","TN",36646
"2454","Fayette County","TN",42139
"2455","Fentress County","TN",18522
"2456","Franklin County","TN",42781
"2457","Gibson County","TN",50375
"2458","Giles County","TN",30295
"2459","Grainger County","TN",23525
"2460","Greene County","TN",70220
"2461","Grundy County","TN",13531
"2462","Hamblen County","TN",64435
"2463","Hamilton County","TN",366991
"2464","Hancock County","TN",6622
"2465","Hardeman County","TN",25410
"2466","Hardin County","TN",26800
"2467","Hawkins County","TN",56669
"2468","Haywood County","TN",17795
"2469","Henderson County","TN",27818
"2470","Henry County","TN",32115
"2471","Hickman County","TN",24942
"2472","Houston County","TN",8285
"2473","Humphreys County","TN",18974
"2474","Jackson County","TN",11617
"2475","Jefferson County","TN",54870
"2476","Johnson County","TN",17966
"2477","Knox County","TN",480126
"2478","Lake County","TN",6980
"2479","Lauderdale County","TN",25100
"2480","Lawrence County","TN",44189
"2481","Lewis County","TN",12602
"2482","Lincoln County","TN",35309
"2483","Loudon County","TN",55097
"2484","McMinn County","TN",53315
"2485","McNairy County","TN",25839
"2486","Macon County","TN",25243
"2487","Madison County","TN",98777
"2488","Marion County","TN",28834
"2489","Marshall County","TN",34441
"2490","Maury County","TN",101700
"2491","Meigs County","TN",12785
"2492","Monroe County","TN",46384
"2493","Montgomery County","TN",221160
"2494","Moore County","TN",6457
"2495","Morgan County","TN",21020
"2496","Obion County","TN",30716
"2497","Overton County","TN",22588
"2498","Perry County","TN",8360
"2499","Pickett County","TN",4995
"2500","Polk County","TN",17569
"2501","Putnam County","TN",79982
"2502","Rhea County","TN",32903
"2503","Roane County","TN",53513
"2504","Robertson County","TN",72860
"2505","Rutherford County","TN",343128
"2506","Scott County","TN",21842
"2507","Sequatchie County","TN",15863
"2508","Sevier County","TN",98497
"2509","Shelby County","TN",928644
"2510","Smith County","TN",19939
"2511","Stewart County","TN",13683
"2512","Sullivan County","TN",158092
"2513","Sumner County","TN",197272
"2514","Tipton County","TN",60961
"2515","Trousdale County","TN",11661
"2516","Unicoi County","TN",17867
"2517","Union County","TN",19820
"2518","Van Buren County","TN",6171
"2519","Warren County","TN",41023
"2520","Washington County","TN",133080
"2521","Wayne County","TN",16202
"2522","Weakley County","TN",32864
"2523","White County","TN",27424
"2524","Williamson County","TN",249424
"2525","Wilson County","TN",148564
"2526","Anderson County","TX",57881
"2527","Andrews County","TX",18612
"2528","Angelina County","TX",86345
"2529","Aransas County","TX",23916
"2530","Archer County","TX",8557
"2531","Armstrong County","TX",1847
"2532","Atascosa County","TX",49089
"2533","Austin County","TX",30109
"2534","Bailey County","TX",6859
"2535","Bandera County","TX",20987
"2536","Bastrop County","TX",97983
"2537","Baylor County","TX",3464
"2538","Bee County","TX",30990
"2539","Bell County","TX",371981
"2540","Bexar County","TX",2014052
"2541","Blanco County","TX",11454
"2542","Borden County","TX",641
"2543","Bosque County","TX",18239
"2544","Bowie County","TX",92792
"2545","Brazoria County","TX",373368
"2546","Brazos County","TX",234480
"2547","Brewster County","TX",9566
"2548","Briscoe County","TX",1421
"2549","Brooks County","TX",7030
"2550","Brown County","TX",38002
"2551","Burleson County","TX",17644
"2552","Burnet County","TX",49427
"2553","Caldwell County","TX",45967
"2554","Calhoun County","TX",20047
"2555","Callahan County","TX",13750
"2556","Cameron County","TX",421191
"2557","Camp County","TX",12450
"2558","Carson County","TX",5808
"2559","Cass County","TX",28399
"2560","Castro County","TX",7337
"2561","Chambers County","TX",47051
"2562","Cherokee County","TX",50477
"2563","Childress County","TX",6648
"2564","Clay County","TX",10245
"2565","Cochran County","TX",2559
"2566","Coke County","TX",3288
"2567","Coleman County","TX",7671
"2568","Collin County","TX",1073149
"2569","Collingsworth County","TX",2635
"2570","Colorado County","TX",20566
"2571","Comal County","TX",163573
"2572","Comanche County","TX",13600
"2573","Concho County","TX",3319
"2574","Cooke County","TX",41697
"2575","Coryell County","TX",83096
"2576","Cottle County","TX",1374
"2577","Crane County","TX",4668
"2578","Crockett County","TX",3111
"2579","Crosby County","TX",5098
"2580","Culberson County","TX",2193
"2581","Dallam County","TX",7116
"2582","Dallas County","TX",2610957
"2583","Dawson County","TX",12439
"2584","Deaf Smith County","TX",18503
"2585","Delta County","TX",5233
"2586","Denton County","TX",913900
"2587","DeWitt County","TX",19809
"2588","Dickens County","TX",1760
"2589","Dimmit County","TX",8563
"2590","Donley County","TX",3269
"2591","Duval County","TX",9808
"2592","Eastland County","TX",17754
"2593","Ector County","TX",165467
"2594","Edwards County","TX",1414
"2595","Ellis County","TX",194272
"2596","El Paso County","TX",866093
"2597","Erath County","TX",42715
"2598","Falls County","TX",16961
"2599","Fannin County","TX",35732
"2600","Fayette County","TX",24452
"2601","Fisher County","TX",3677
"2602","Floyd County","TX",5378
"2603","Foard County","TX",1086
"2604","Fort Bend County","TX",828632
"2605","Franklin County","TX",10366
"2606","Freestone County","TX",19445
"2607","Frio County","TX",18366
"2608","Gaines County","TX",21701
"2609","Galveston County","TX",351458
"2610","Garza County","TX",5794
"2611","Gillespie County","TX",26732
"2612","Glasscock County","TX",1114
"2613","Goliad County","TX",7005
"2614","Gonzales County","TX",19653
"2615","Gray County","TX",21179
"2616","Grayson County","TX",136014
"2617","Gregg County","TX",124175
"2618","Grimes County","TX",29414
"2619","Guadalupe County","TX",173541
"2620","Hale County","TX",32439
"2621","Hall County","TX",2801
"2622","Hamilton County","TX",8230
"2623","Hansford County","TX",5255
"2624","Hardeman County","TX",3559
"2625","Hardin County","TX",56277
"2626","Harris County","TX",4732491
"2627","Harrison County","TX",68778
"2628","Hartley County","TX",5362
"2629","Haskell County","TX",5424
"2630","Hays County","TX",243809
"2631","Hemphill County","TX",3368
"2632","Henderson County","TX",82348
"2633","Hidalgo County","TX",872204
"2634","Hill County","TX",35965
"2635","Hockley County","TX",21490
"2636","Hood County","TX",61953
"2637","Hopkins County","TX",36795
"2638","Houston County","TX",22068
"2639","Howard County","TX",34797
"2640","Hudspeth County","TX",3196
"2641","Hunt County","TX",100231
"2642","Hutchinson County","TX",20539
"2643","Irion County","TX",1522
"2644","Jack County","TX",8492
"2645","Jackson County","TX",15000
"2646","Jasper County","TX",32900
"2647","Jeff Davis County","TX",1978
"2648","Jefferson County","TX",255979
"2649","Jim Hogg County","TX",4839
"2650","Jim Wells County","TX",38813
"2651","Johnson County","TX",180733
"2652","Jones County","TX",19676
"2653","Karnes County","TX",14721
"2654","Kaufman County","TX",146986
"2655","Kendall County","TX",44527
"2656","Kenedy County","TX",346
"2657","Kent County","TX",759
"2658","Kerr County","TX",52676
"2659","Kimble County","TX",4289
"2660","King County","TX",270
"2661","Kinney County","TX",3127
"2662","Kleberg County","TX",30958
"2663","Knox County","TX",3361
"2664","Lamar County","TX",50077
"2665","Lamb County","TX",12984
"2666","Lampasas County","TX",21707
"2667","La Salle County","TX",6642
"2668","Lavaca County","TX",20338
"2669","Lee County","TX",17499
"2670","Leon County","TX",15727
"2671","Liberty County","TX",92351
"2672","Limestone County","TX",22103
"2673","Lipscomb County","TX",3042
"2674","Live Oak County","TX",11343
"2675","Llano County","TX",21249
"2676","Loving County","TX",67
"2677","Lubbock County","TX",311419
"2678","Lynn County","TX",5606
"2679","McCulloch County","TX",7567
"2680","McLennan County","TX",261023
"2681","McMullen County","TX",599
"2682","Madison County","TX",13445
"2683","Marion County","TX",9752
"2684","Martin County","TX",5250
"2685","Mason County","TX",3964
"2686","Matagorda County","TX",36269
"2687","Maverick County","TX",57844
"2688","Medina County","TX",50920
"2689","Menard County","TX",1971
"2690","Midland County","TX",170221
"2691","Milam County","TX",24724
"2692","Mills County","TX",4439
"2693","Mitchell County","TX",8985
"2694","Montague County","TX",19969
"2695","Montgomery County","TX",624938
"2696","Moore County","TX",21273
"2697","Morris County","TX",11963
"2698","Motley County","TX",1052
"2699","Nacogdoches County","TX",64624
"2700","Navarro County","TX",52784
"2701","Newton County","TX",12163
"2702","Nolan County","TX",14721
"2703","Nueces County","TX",353090
"2704","Ochiltree County","TX",9960
"2705","Oldham County","TX",1761
"2706","Orange County","TX",84702
"2707","Palo Pinto County","TX",28427
"2708","Panola County","TX",22513
"2709","Parker County","TX",149432
"2710","Parmer County","TX",9851
"2711","Pecos County","TX",15165
"2712","Polk County","TX",50505
"2713","Potter County","TX",118173
"2714","Presidio County","TX",6102
"2715","Rains County","TX",12199
"2716","Randall County","TX",141231
"2717","Reagan County","TX",3376
"2718","Real County","TX",2743
"2719","Red River County","TX",11550
"2720","Reeves County","TX",14730
"2721","Refugio County","TX",6747
"2722","Roberts County","TX",823
"2723","Robertson County","TX",16740
"2724","Rockwall County","TX",109090
"2725","Runnels County","TX",9921
"2726","Rusk County","TX",52225
"2727","Sabine County","TX",9881
"2728","San Augustine County","TX",7919
"2729","San Jacinto County","TX",27483
"2730","San Patricio County","TX",68772
"2731","San Saba County","TX",5730
"2732","Schleicher County","TX",2442
"2733","Scurry County","TX",16931
"2734","Shackelford County","TX",3122
"2735","Shelby County","TX",23926
"2736","Sherman County","TX",2780
"2737","Smith County","TX",234063
"2738","Somervell County","TX",9214
"2739","Starr County","TX",65835
"2740","Stephens County","TX",9079
"2741","Sterling County","TX",1383
"2742","Stonewall County","TX",1245
"2743","Sutton County","TX",3362
"2744","Swisher County","TX",6957
"2745","Tarrant County","TX",2114709
"2746","Taylor County","TX",143383
"2747","Terrell County","TX",744
"2748","Terry County","TX",11792
"2749","Throckmorton County","TX",1443
"2750","Titus County","TX",31264
"2751","Tom Green County","TX",120105
"2752","Travis County","TX",1296100
"2753","Trinity County","TX",13623
"2754","Tyler County","TX",19797
"2755","Upshur County","TX",40975
"2756","Upton County","TX",3296
"2757","Uvalde County","TX",24540
"2758","Val Verde County","TX",47582
"2759","Van Zandt County","TX",59690
"2760","Victoria County","TX",91236
"2761","Walker County","TX",76543
"2762","Waller County","TX",57349
"2763","Ward County","TX",11656
"2764","Washington County","TX",35837
"2765","Webb County","TX",267234
"2766","Wharton County","TX",41550
"2767","Wheeler County","TX",4980
"2768","Wichita County","TX",129546
"2769","Wilbarger County","TX",12846
"2770","Willacy County","TX",20129
"2771","Williamson County","TX",615266
"2772","Wilson County","TX",49994
"2773","Winkler County","TX",7749
"2774","Wise County","TX",68866
"2775","Wood County","TX",45010
"2776","Yoakum County","TX",7669
"2777","Young County","TX",17839
"2778","Zapata County","TX",13884
"2779","Zavala County","TX",9652
"2780","Beaver County","UT",7076
"2781","Box Elder County","UT",57908
"2782","Cache County","UT",133527
"2783","Carbon County","UT",20465
"2784","Daggett County","UT",952
"2785","Davis County","UT",363492
"2786","Duchesne County","UT",19581
"2787","Emery County","UT",9837
"2788","Garfield County","UT",5090
"2789","Grand County","UT",9681
"2790","Iron County","UT",57640
"2791","Juab County","UT",11824
"2792","Kane County","UT",7673
"2793","Millard County","UT",13015
"2794","Morgan County","UT",12392
"2795","Piute County","UT",1437
"2796","Rich County","UT",2504
"2797","Salt Lake County","UT",1186236
"2798","San Juan County","UT",14525
"2799","Sanpete County","UT",28508
"2800","Sevier County","UT",21546
"2801","Summit County","UT",42452
"2802","Tooele County","UT",73281
"2803","Uintah County","UT",35618
"2804","Utah County","UT",663143
"2805","Wasatch County","UT",35032
"2806","Washington County","UT",181924
"2807","Wayne County","UT",2497
"2808","Weber County","UT",262828
"2809","Addison County","VT",37292
"2810","Bennington County","VT",37271
"2811","Caledonia County","VT",30184
"2812","Chittenden County","VT",168289
"2813","Essex County","VT",5910
"2814","Franklin County","VT",49996
"2815","Grand Isle County","VT",7278
"2816","Lamoille County","VT",25914
"2817","Orange County","VT",29259
"2818","Orleans County","VT",27355
"2819","Rutland County","VT",60455
"2820","Washington County","VT",59748
"2821","Windham County","VT",45844
"2822","Windsor County","VT",57700
"2823","Accomack County","VA",33348
"2824","Albemarle County","VA",112496
"2825","Alleghany County","VA",15161
"2826","Amelia County","VA",13246
"2827","Amherst County","VA",31262
"2828","Appomattox County","VA",16133
"2829","Arlington County","VA",238766
"2830","Augusta County","VA",77512
"2831","Bath County","VA",4196
"2832","Bedford County","VA",79504
"2833","Bland County","VA",6247
"2834","Botetourt County","VA",33614
"2835","Brunswick County","VA",15806
"2836","Buchanan County","VA",20216
"2837","Buckingham County","VA",16820
"2838","Campbell County","VA",55638
"2839","Caroline County","VA",30905
"2840","Carroll County","VA",29130
"2841","Charles City County","VA",6733
"2842","Charlotte County","VA",11506
"2843","Chesterfield County","VA",365566
"2844","Clarke County","VA",14788
"2845","Craig County","VA",4880
"2846","Culpeper County","VA",52717
"2847","Cumberland County","VA",9656
"2848","Dickenson County","VA",14045
"2849","Dinwiddie County","VA",27900
"2850","Essex County","VA",10591
"2851","Fairfax County","VA",1148472
"2852","Fauquier County","VA",72938
"2853","Floyd County","VA",15474
"2854","Fluvanna County","VA",27280
"2855","Franklin County","VA",54469
"2856","Frederick County","VA",91766
"2857","Giles County","VA",16754
"2858","Gloucester County","VA",38688
"2859","Goochland County","VA",24828
"2860","Grayson County","VA",15300
"2861","Greene County","VA",20591
"2862","Greensville County","VA",11393
"2863","Halifax County","VA",33901
"2864","Hanover County","VA",110102
"2865","Henrico County","VA",334298
"2866","Henry County","VA",50782
"2867","Highland County","VA",2236
"2868","Isle of Wight County","VA",38658
"2869","James City County","VA",78412
"2870","King and Queen County","VA",6590
"2871","King George County","VA",26806
"2872","King William County","VA",17905
"2873","Lancaster County","VA",10910
"2874","Lee County","VA",22084
"2875","Loudoun County","VA",422597
"2876","Louisa County","VA",37757
"2877","Lunenburg County","VA",11930
"2878","Madison County","VA",13837
"2879","Mathews County","VA",8524
"2880","Mecklenburg County","VA",30287
"2881","Middlesex County","VA",10623
"2882","Montgomery County","VA",99508
"2883","Nelson County","VA",14732
"2884","New Kent County","VA",23086
"2885","Northampton County","VA",12232
"2886","Northumberland County","VA",11839
"2887","Nottoway County","VA",15614
"2888","Orange County","VA",36396
"2889","Page County","VA",23693
"2890","Patrick County","VA",17560
"2891","Pittsylvania County","VA",60312
"2892","Powhatan County","VA",30433
"2893","Prince Edward County","VA",21853
"2894","Prince George County","VA",43023
"2895","Prince William County","VA",482738
"2896","Pulaski County","VA",33760
"2897","Rappahannock County","VA",7312
"2898","Richmond County","VA",8920
"2899","Roanoke County","VA",96845
"2900","Rockbridge County","VA",22610
"2901","Rockingham County","VA",83758
"2902","Russell County","VA",25726
"2903","Scott County","VA",21547
"2904","Shenandoah County","VA",44255
"2905","Smyth County","VA",29730
"2906","Southampton County","VA",17949
"2907","Spotsylvania County","VA",140475
"2908","Stafford County","VA",157604
"2909","Surry County","VA",6546
"2910","Sussex County","VA",10768
"2911","Tazewell County","VA",40343
"2912","Warren County","VA",40782
"2913","Washington County","VA",53839
"2914","Westmoreland County","VA",18496
"2915","Wise County","VA",36018
"2916","Wythe County","VA",28274
"2917","York County","VA",70154
"2918","Alexandria city","VA",159097
"2919","Bristol city","VA",17259
"2920","Buena Vista city","VA",6620
"2921","Charlottesville city","VA",46423
"2922","Chesapeake city","VA",249679
"2923","Colonial Heights city","VA",18191
"2924","Covington city","VA",5721
"2925","Danville city","VA",42465
"2926","Emporia city","VA",5716
"2927","Fairfax city","VA",24129
"2928","Falls Church city","VA",14654
"2929","Franklin city","VA",8171
"2930","Fredericksburg city","VA",27995
"2931","Galax city","VA",6691
"2932","Hampton city","VA",137131
"2933","Harrisonburg city","VA",51675
"2934","Hopewell city","VA",22967
"2935","Lexington city","VA",7313
"2936","Lynchburg city","VA",78871
"2937","Manassas city","VA",42728
"2938","Manassas Park city","VA",17140
"2939","Martinsville city","VA",13422
"2940","Newport News city","VA",185916
"2941","Norfolk city","VA",237591
"2942","Norton city","VA",3679
"2943","Petersburg city","VA",33428
"2944","Poquoson city","VA",12455
"2945","Portsmouth city","VA",98015
"2946","Radford city","VA",16089
"2947","Richmond city","VA",226670
"2948","Roanoke city","VA",99875
"2949","Salem city","VA",25374
"2950","Staunton city","VA",25800
"2951","Suffolk city","VA",94685
"2952","Virginia Beach city","VA",459373
"2953","Waynesboro city","VA",22279
"2954","Williamsburg city","VA",15445
"2955","Winchester city","VA",28008
"2956","Adams County","WA",20605
"2957","Asotin County","WA",22290
"2958","Benton County","WA",207230
"2959","Chelan County","WA",79185
"2960","Clallam County","WA",77280
"2961","Clark County","WA",505013
"2962","Columbia County","WA",3949
"2963","Cowlitz County","WA",110924
"2964","Douglas County","WA",42998
"2965","Ferry County","WA",7178
"2966","Franklin County","WA",97076
"2967","Garfield County","WA",2292
"2968","Grant County","WA",99365
"2969","Grays Harbor County","WA",75811
"2970","Island County","WA",86948
"2971","Jefferson County","WA",33048
"2972","King County","WA",2272571
"2973","Kitsap County","WA",275660
"2974","Kittitas County","WA",44589
"2975","Klickitat County","WA",22783
"2976","Lewis County","WA",82474
"2977","Lincoln County","WA",10920
"2978","Mason County","WA",66028
"2979","Okanogan County","WA",42118
"2980","Pacific County","WA",23470
"2981","Pend Oreille County","WA",13482
"2982","Pierce County","WA",922828
"2983","San Juan County","WA",17818
"2984","Skagit County","WA",129852
"2985","Skamania County","WA",12034
"2986","Snohomish County","WA",829331
"2987","Spokane County","WA",540700
"2988","Stevens County","WA",46566
"2989","Thurston County","WA",295729
"2990","Wahkiakum County","WA",4443
"2991","Walla Walla County","WA",62574
"2992","Whatcom County","WA",227304
"2993","Whitman County","WA",47786
"2994","Yakima County","WA",256533
"2995","Barbour County","WV",15440
"2996","Berkeley County","WV",122654
"2997","Boone County","WV",21714
"2998","Braxton County","WV",12386
"2999","Brooke County","WV",22469
"3000","Cabell County","WV",94137
"3001","Calhoun County","WV",6199
"3002","Clay County","WV",8006
"3003","Doddridge County","WV",7786
"3004","Fayette County","WV",40358
"3005","Gilmer County","WV",7378
"3006","Grant County","WV",10954
"3007","Greenbrier County","WV",32866
"3008","Hampshire County","WV",23067
"3009","Hancock County","WV",29019
"3010","Hardy County","WV",14240
"3011","Harrison County","WV",65771
"3012","Jackson County","WV",27735
"3013","Jefferson County","WV",57732
"3014","Kanawha County","WV",180048
"3015","Lewis County","WV",17009
"3016","Lincoln County","WV",20337
"3017","Logan County","WV",32473
"3018","McDowell County","WV",18916
"3019","Marion County","WV",56157
"3020","Marshall County","WV",30444
"3021","Mason County","WV",25356
"3022","Mercer County","WV",59462
"3023","Mineral County","WV",26877
"3024","Mingo County","WV",23455
"3025","Monongalia County","WV",105916
"3026","Monroe County","WV",12330
"3027","Morgan County","WV",17037
"3028","Nicholas County","WV",24523
"3029","Ohio County","WV",42264
"3030","Pendleton County","WV",6134
"3031","Pleasants County","WV",7649
"3032","Pocahontas County","WV",7847
"3033","Preston County","WV",34176
"3034","Putnam County","WV",57399
"3035","Raleigh County","WV",74349
"3036","Randolph County","WV",27852
"3037","Ritchie County","WV",8424
"3038","Roane County","WV",13977
"3039","Summers County","WV",11915
"3040","Taylor County","WV",16701
"3041","Tucker County","WV",6752
"3042","Tyler County","WV",8279
"3043","Upshur County","WV",23783
"3044","Wayne County","WV",38830
"3045","Webster County","WV",8329
"3046","Wetzel County","WV",14382
"3047","Wirt County","WV",5183
"3048","Wood County","WV",83996
"3049","Wyoming County","WV",21326
"3050","Adams County","WI",20673
"3051","Ashland County","WI",15977
"3052","Barron County","WI",46643
"3053","Bayfield County","WI",16229
"3054","Brown County","WI",268741
"3055","Buffalo County","WI",13320
"3056","Burnett County","WI",16588
"3057","Calumet County","WI",52476
"3058","Chippewa County","WI",66279
"3059","Clark County","WI",34628
"3060","Columbia County","WI",58510
"3061","Crawford County","WI",16086
"3062","Dane County","WI",562306
"3063","Dodge County","WI",89262
"3064","Door County","WI",30102
"3065","Douglas County","WI",44275
"3066","Dunn County","WI",45440
"3067","Eau Claire County","WI",105818
"3068","Florence County","WI",4556
"3069","Fond du Lac County","WI",104076
"3070","Forest County","WI",9160
"3071","Grant County","WI",51934
"3072","Green County","WI",36992
"3073","Green Lake County","WI",18997
"3074","Iowa County","WI",23676
"3075","Iron County","WI",6128
"3076","Jackson County","WI",21102
"3077","Jefferson County","WI",84858
"3078","Juneau County","WI",26759
"3079","Kenosha County","WI",169073
"3080","Kewaunee County","WI",20539
"3081","La Crosse County","WI",120852
"3082","Lafayette County","WI",16605
"3083","Langlade County","WI",19438
"3084","Lincoln County","WI",28374
"3085","Manitowoc County","WI",81250
"3086","Marathon County","WI",137954
"3087","Marinette County","WI",41869
"3088","Marquette County","WI",15584
"3089","Menominee County","WI",4255
"3090","Milwaukee County","WI",938149
"3091","Monroe County","WI",46281
"3092","Oconto County","WI",39043
"3093","Oneida County","WI",37839
"3094","Outagamie County","WI",190832
"3095","Ozaukee County","WI",91569
"3096","Pepin County","WI",7335
"3097","Pierce County","WI",42191
"3098","Polk County","WI",45006
"3099","Portage County","WI",70378
"3100","Price County","WI",14015
"3101","Racine County","WI",197440
"3102","Richland County","WI",17274
"3103","Rock County","WI",163643
"3104","Rusk County","WI",14168
"3105","St. Croix County","WI",93797
"3106","Sauk County","WI",65718
"3107","Sawyer County","WI",18107
"3108","Shawano County","WI",40838
"3109","Sheboygan County","WI",117937
"3110","Taylor County","WI",19897
"3111","Trempealeau County","WI",30776
"3112","Vernon County","WI",30693
"3113","Vilas County","WI",23076
"3114","Walworth County","WI",106499
"3115","Washburn County","WI",16597
"3116","Washington County","WI",136732
"3117","Waukesha County","WI",407148
"3118","Waupaca County","WI",51713
"3119","Waushara County","WI",24511
"3120","Winnebago County","WI",171646
"3121","Wood County","WI",74091
"3122","Albany County","WY",37079
"3123","Big Horn County","WY",11467
"3124","Campbell County","WY",47116
"3125","Carbon County","WY",14499
"3126","Converse County","WY",13724
"3127","Crook County","WY",7178
"3128","Fremont County","WY",39177
"3129","Goshen County","WY",12503
"3130","Hot Springs County","WY",4622
"3131","Johnson County","WY",8459
"3132","Laramie County","WY",100690
"3133","Lincoln County","WY",19674
"3134","Natrona County","WY",80229
"3135","Niobrara County","WY",2439
"3136","Park County","WY",29656
"3137","Platte County","WY",8623
"3138","Sheridan County","WY",30996
"3139","Sublette County","WY",8723
"3140","Sweetwater County","WY",42158
"3141","Teton County","WY",23347
"3142","Uinta County","WY",20441
"3143","Washakie County","WY",7658
"3144","Weston County","WY",6809
