"","county","state","poverty","income"
"2664","Lamar County","TX",19.6,44688
"2665","Lamb County","TX",17.6,48123
"2666","Lampasas County","TX",10,69051
"2667","La Salle County","TX",24,45647
"2668","Lavaca County","TX",10.6,57999
"2669","Lee County","TX",10.6,61444
"2670","Leon County","TX",13.8,52878
"2671","Liberty County","TX",14.4,61230
"2672","Limestone County","TX",16.8,53143
"2673","Lipscomb County","TX",11.3,67775
"2674","Live Oak County","TX",17,54031
"2675","Llano County","TX",10.9,60706
"2676","Loving County","TX",3.9,97491
"2677","Lubbock County","TX",15.8,56477
"2678","Lynn County","TX",14.4,51003
"2679","McCulloch County","TX",16.2,47617
"2680","McLennan County","TX",17,55148
"2681","McMullen County","TX",9.7,45927
"2682","Madison County","TX",17.4,58674
"2683","Marion County","TX",20,42024
"2684","Martin County","TX",11.1,73367
"2685","Mason County","TX",9.8,63120
"2686","Matagorda County","TX",17.3,52241
"2687","Maverick County","TX",20,41324
"2688","Medina County","TX",11.2,62600
"2689","Menard County","TX",19.1,41477
"2690","Midland County","TX",9.7,92117
"2691","Milam County","TX",17.4,49961
"2692","Mills County","TX",14.4,49089
"2693","Mitchell County","TX",18.7,46156
"2694","Montague County","TX",12.4,56012
"2695","Montgomery County","TX",8.2,85348
"2696","Moore County","TX",10.6,53341
"2697","Morris County","TX",17,45122
"2698","Motley County","TX",16.3,46712
"2699","Nacogdoches County","TX",19.5,49375
"2700","Navarro County","TX",14.8,50778
"2701","Newton County","TX",21.3,45769
"2702","Nolan County","TX",17.2,41720
"2703","Nueces County","TX",17.5,55727
"2704","Ochiltree County","TX",9.2,71477
"2705","Oldham County","TX",14,61013
"2706","Orange County","TX",15.1,61323
"2707","Palo Pinto County","TX",13.9,59450
"2708","Panola County","TX",15.3,51936
"2709","Parker County","TX",8,88617
"2710","Parmer County","TX",12.2,61989
"2711","Pecos County","TX",16.5,52792
"2712","Polk County","TX",15,47535
"2713","Potter County","TX",20.8,45903
"2714","Presidio County","TX",19.4,39967
"2715","Rains County","TX",13.6,59195
"2716","Randall County","TX",9.6,71041
"2717","Reagan County","TX",8.3,66711
"2718","Real County","TX",16.4,43076
"2719","Red River County","TX",15.7,46727
"2720","Reeves County","TX",19,64863
"2721","Refugio County","TX",15.3,48433
"2722","Roberts County","TX",6.4,69927
"2723","Robertson County","TX",14.2,55218
"2724","Rockwall County","TX",4.8,106225
"2725","Runnels County","TX",14.3,50972
"2726","Rusk County","TX",14.2,56954
"2727","Sabine County","TX",16,51046
"2728","San Augustine County","TX",19.6,45781
"2729","San Jacinto County","TX",16.1,51575
"2730","San Patricio County","TX",14.8,56944
"2731","San Saba County","TX",17.4,48349
"2732","Schleicher County","TX",13.2,54471
"2733","Scurry County","TX",13.8,57158
"2734","Shackelford County","TX",12.5,64931
"2735","Shelby County","TX",18,41194
"2736","Sherman County","TX",11.3,66408
"2737","Smith County","TX",12.7,60735
"2738","Somervell County","TX",8.3,67984
"2739","Starr County","TX",25.2,35716
"2740","Stephens County","TX",15.6,48911
"2741","Sterling County","TX",10.2,68435
"2742","Stonewall County","TX",14.3,59802
"2743","Sutton County","TX",11.7,64612
"2744","Swisher County","TX",19.6,39897
"2745","Tarrant County","TX",10.5,72064
"2746","Taylor County","TX",12.2,52974
"2747","Terrell County","TX",14,42849
"2748","Terry County","TX",18.5,47292
"2749","Throckmorton County","TX",13.5,46820
"2750","Titus County","TX",14.3,52973
"2751","Tom Green County","TX",12,55990
"2752","Travis County","TX",10.2,82605
"2753","Trinity County","TX",16.8,47685
"2754","Tyler County","TX",18.9,48809
"2755","Upshur County","TX",12.6,58231
"2756","Upton County","TX",12.1,59593
"2757","Uvalde County","TX",19,49275
"2758","Val Verde County","TX",15.6,54346
"2759","Van Zandt County","TX",12.9,57891
"2760","Victoria County","TX",16.5,53583
"2761","Walker County","TX",18,43002
"2762","Waller County","TX",12.6,69460
"2763","Ward County","TX",9.8,57257
"2764","Washington County","TX",11.7,62667
"2765","Webb County","TX",19.9,56588
"2766","Wharton County","TX",13.8,55887
"2767","Wheeler County","TX",13.5,49838
"2768","Wichita County","TX",16,54659
"2769","Wilbarger County","TX",14.6,51774
"2770","Willacy County","TX",24.7,40190
"2771","Williamson County","TX",5.6,91507
"2772","Wilson County","TX",9.4,74529
"2773","Winkler County","TX",11.8,77960
"2774","Wise County","TX",10,71636
"2775","Wood County","TX",13.5,61886
"2776","Yoakum County","TX",10.8,67132
"2777","Young County","TX",14.8,54569
"2778","Zapata County","TX",24.6,39876
"2779","Zavala County","TX",27.2,34898
"2780","Beaver County","UT",7.7,61858
"2781","Box Elder County","UT",6.8,73926
"2782","Cache County","UT",9.2,65391
"2783","Carbon County","UT",12.8,51902
"2784","Daggett County","UT",6.5,63461
"2785","Davis County","UT",5,92253
"2786","Duchesne County","UT",10.6,61709
"2787","Emery County","UT",9.3,64144
"2788","Garfield County","UT",9.7,47638
"2789","Grand County","UT",10.4,58852
"2790","Iron County","UT",13.7,52942
"2791","Juab County","UT",7.7,70086
"2792","Kane County","UT",9,58352
"2793","Millard County","UT",10.7,60316
"2794","Morgan County","UT",3.7,103746
"2795","Piute County","UT",15.3,47206
"2796","Rich County","UT",8.4,75531
"2797","Salt Lake County","UT",7,79294
"2798","San Juan County","UT",18.6,50686
"2799","Sanpete County","UT",14.1,55033
"2800","Sevier County","UT",10,56318
"2801","Summit County","UT",4.5,115756
"2802","Tooele County","UT",5.7,79101
"2803","Uintah County","UT",10.8,63282
"2804","Utah County","UT",7.8,81804
"2805","Wasatch County","UT",4.7,87098
"2806","Washington County","UT",6.9,71904
"2807","Wayne County","UT",11.2,54790
"2808","Weber County","UT",7.3,72091
"2809","Addison County","VT",8.4,73049
"2810","Bennington County","VT",10.4,65528
"2811","Caledonia County","VT",11,52203
"2812","Chittenden County","VT",8.5,80539
"2813","Essex County","VT",12.7,50956
"2814","Franklin County","VT",8.9,62763
"2815","Grand Isle County","VT",7.4,79994
"2816","Lamoille County","VT",8.1,57909
"2817","Orange County","VT",9.6,60624
"2818","Orleans County","VT",10.6,56721
"2819","Rutland County","VT",12,62289
"2820","Washington County","VT",8,70061
"2821","Windham County","VT",11.3,59017
"2822","Windsor County","VT",8.6,60842
"2823","Accomack County","VA",17.6,44127
"2824","Albemarle County","VA",6.3,79708
"2825","Alleghany County","VA",11.7,52281
"2826","Amelia County","VA",9,70511
"2827","Amherst County","VA",11.2,61111
"2828","Appomattox County","VA",12.6,55152
"2829","Arlington County","VA",6,125004
"2830","Augusta County","VA",8.3,67698
"2831","Bath County","VA",11.2,56165
"2832","Bedford County","VA",6.8,70004
"2833","Bland County","VA",12.1,56637
"2834","Botetourt County","VA",6.6,70803
"2835","Brunswick County","VA",20.2,45556
"2836","Buchanan County","VA",23.7,35891
"2837","Buckingham County","VA",16.8,49339
"2838","Campbell County","VA",8.9,59223
"2839","Caroline County","VA",9.8,67663
"2840","Carroll County","VA",13.2,48555
"2841","Charles City County","VA",9.9,61850
"2842","Charlotte County","VA",17.2,45084
"2843","Chesterfield County","VA",6.6,83598
"2844","Clarke County","VA",6.2,88407
"2845","Craig County","VA",10.4,57314
"2846","Culpeper County","VA",8.5,80151
"2847","Cumberland County","VA",13.5,51035
"2848","Dickenson County","VA",19.3,38394
"2849","Dinwiddie County","VA",11.1,63567
"2850","Essex County","VA",12.3,56134
"2851","Fairfax County","VA",5.3,132509
"2852","Fauquier County","VA",6,106977
"2853","Floyd County","VA",10.9,54262
"2854","Fluvanna County","VA",6.8,79598
"2855","Franklin County","VA",11.5,61714
"2856","Frederick County","VA",7.4,83033
"2857","Giles County","VA",10.7,55983
"2858","Gloucester County","VA",7.9,73893
"2859","Goochland County","VA",5.8,101927
"2860","Grayson County","VA",16.2,45896
"2861","Greene County","VA",8.1,70046
"2862","Greensville County","VA",21.5,48578
"2863","Halifax County","VA",17.8,43386
"2864","Hanover County","VA",5,97717
"2865","Henrico County","VA",8.3,80105
"2866","Henry County","VA",12.9,41706
"2867","Highland County","VA",12.2,52898
"2868","Isle of Wight County","VA",7.6,75481
"2869","James City County","VA",6.5,86501
"2870","King and Queen County","VA",11.1,60133
"2871","King George County","VA",6,90786
"2872","King William County","VA",6.2,79313
"2873","Lancaster County","VA",10.3,55539
"2874","Lee County","VA",26,38229
"2875","Loudoun County","VA",3.2,155362
"2876","Louisa County","VA",7.9,69907
"2877","Lunenburg County","VA",16.5,47384
"2878","Madison County","VA",9.4,67373
"2879","Mathews County","VA",8.5,68946
"2880","Mecklenburg County","VA",15.4,49542
"2881","Middlesex County","VA",11.6,60752
"2882","Montgomery County","VA",19.3,62418
"2883","Nelson County","VA",10.7,60757
"2884","New Kent County","VA",4.6,107658
"2885","Northampton County","VA",16.2,50096
"2886","Northumberland County","VA",12.3,60575
"2887","Nottoway County","VA",19.2,51503
"2888","Orange County","VA",9.4,73226
"2889","Page County","VA",11.3,52107
"2890","Patrick County","VA",14.2,46149
"2891","Pittsylvania County","VA",14,49124
"2892","Powhatan County","VA",5.3,98465
"2893","Prince Edward County","VA",23.6,47968
"2894","Prince George County","VA",8.2,75717
"2895","Prince William County","VA",4.9,111117
"2896","Pulaski County","VA",12.5,50530
"2897","Rappahannock County","VA",8.9,76634
"2898","Richmond County","VA",16,55870
"2899","Roanoke County","VA",6,71613
"2900","Rockbridge County","VA",10.5,55684
"2901","Rockingham County","VA",8.3,62609
"2902","Russell County","VA",16.2,43206
"2903","Scott County","VA",17.6,44937
"2904","Shenandoah County","VA",10.1,54294
"2905","Smyth County","VA",15.2,43351
"2906","Southampton County","VA",12.5,60441
"2907","Spotsylvania County","VA",6.6,94299
"2908","Stafford County","VA",5.4,110120
"2909","Surry County","VA",11.6,57872
"2910","Sussex County","VA",18.9,48040
"2911","Tazewell County","VA",16.4,45214
"2912","Warren County","VA",10.1,63797
"2913","Washington County","VA",13.2,53785
"2914","Westmoreland County","VA",12.9,59343
"2915","Wise County","VA",20.3,41723
"2916","Wythe County","VA",12,54399
"2917","York County","VA",4.7,91711
"2918","Alexandria city","VA",8,99763
"2919","Bristol city","VA",17.2,41444
"2920","Buena Vista city","VA",14,48837
"2921","Charlottesville city","VA",15.8,70501
"2922","Chesapeake city","VA",7.6,80402
"2923","Colonial Heights city","VA",8.7,67339
"2924","Covington city","VA",14.8,40683
"2925","Danville city","VA",22.1,36560
"2926","Emporia city","VA",19.1,42895
"2927","Fairfax city","VA",7.2,102828
"2928","Falls Church city","VA",3.3,160305
"2929","Franklin city","VA",18.1,47223
"2930","Fredericksburg city","VA",12.2,72437
"2931","Galax city","VA",18.8,40271
"2932","Hampton city","VA",13.4,53719
"2933","Harrisonburg city","VA",22.2,52159
"2934","Hopewell city","VA",17.4,41792
"2935","Lexington city","VA",18.5,63580
"2936","Lynchburg city","VA",15.5,56089
"2937","Manassas city","VA",7.9,87804
"2938","Manassas Park city","VA",6.7,82255
"2939","Martinsville city","VA",21.3,35715
"2940","Newport News city","VA",14.5,60048
"2941","Norfolk city","VA",17.6,51401
"2942","Norton city","VA",20.5,36004
"2943","Petersburg city","VA",20.8,43190
"2944","Poquoson city","VA",4.7,99310
"2945","Portsmouth city","VA",15.3,52070
"2946","Radford city","VA",24.6,42938
"2947","Richmond city","VA",17.9,54815
"2948","Roanoke city","VA",15.9,49313
"2949","Salem city","VA",9,70349
"2950","Staunton city","VA",12.3,51230
"2951","Suffolk city","VA",9,72264
"2952","Virginia Beach city","VA",8.1,73961
"2953","Waynesboro city","VA",11.3,53635
"2954","Williamsburg city","VA",16.8,60655
"2955","Winchester city","VA",13.2,58295
"2956","Adams County","WA",12.7,56421
"2957","Asotin County","WA",14.1,53377
"2958","Benton County","WA",9.1,75882
"2959","Chelan County","WA",8.3,61546
"2960","Clallam County","WA",13.3,54712
"2961","Clark County","WA",8.7,76929
"2962","Columbia County","WA",12.6,58220
"2963","Cowlitz County","WA",11.9,64357
"2964","Douglas County","WA",10.5,64768
"2965","Ferry County","WA",18.4,47722
"2966","Franklin County","WA",12.4,73656
"2967","Garfield County","WA",11.4,56804
"2968","Grant County","WA",13.6,54753
"2969","Grays Harbor County","WA",15.1,54034
"2970","Island County","WA",6.5,76965
"2971","Jefferson County","WA",10.6,66386
"2972","King County","WA",7.6,102620
"2973","Kitsap County","WA",8.3,76814
"2974","Kittitas County","WA",12.9,64727
"2975","Klickitat County","WA",14,57476
"2976","Lewis County","WA",13.3,54578
"2977","Lincoln County","WA",11.4,61332
"2978","Mason County","WA",12.6,63785
"2979","Okanogan County","WA",19.8,48979
"2980","Pacific County","WA",13.6,53319
"2981","Pend Oreille County","WA",14.7,57212
"2982","Pierce County","WA",8.7,80236
"2983","San Juan County","WA",9.6,74533
"2984","Skagit County","WA",9.5,78798
"2985","Skamania County","WA",10.6,68501
"2986","Snohomish County","WA",7.1,93589
"2987","Spokane County","WA",13.4,60827
"2988","Stevens County","WA",15,50958
"2989","Thurston County","WA",9.7,79769
"2990","Wahkiakum County","WA",10.7,62099
"2991","Walla Walla County","WA",12.9,61281
"2992","Whatcom County","WA",11.7,70463
"2993","Whitman County","WA",15.7,52066
"2994","Yakima County","WA",14.8,56353
"2995","Barbour County","WV",20.8,43773
"2996","Berkeley County","WV",10,67163
"2997","Boone County","WV",17.8,49076
"2998","Braxton County","WV",17.8,47959
"2999","Brooke County","WV",11.9,50381
"3000","Cabell County","WV",19.9,44161
"3001","Calhoun County","WV",20,41726
"3002","Clay County","WV",23.3,36537
"3003","Doddridge County","WV",17,50445
"3004","Fayette County","WV",20.8,41964
"3005","Gilmer County","WV",23,41579
"3006","Grant County","WV",13.3,45624
"3007","Greenbrier County","WV",17.8,40016
"3008","Hampshire County","WV",13.7,53333
"3009","Hancock County","WV",12,52305
"3010","Hardy County","WV",13.5,47469
"3011","Harrison County","WV",13.6,52075
"3012","Jackson County","WV",14.2,52123
"3013","Jefferson County","WV",7.8,85779
"3014","Kanawha County","WV",15.7,47830
"3015","Lewis County","WV",13.9,53471
"3016","Lincoln County","WV",20.6,40741
"3017","Logan County","WV",22.3,38571
"3018","McDowell County","WV",31.8,26582
"3019","Marion County","WV",13.2,58878
"3020","Marshall County","WV",13.7,54028
"3021","Mason County","WV",17.1,44307
"3022","Mercer County","WV",15.1,42095
"3023","Mineral County","WV",13.8,50300
"3024","Mingo County","WV",24.9,32955
"3025","Monongalia County","WV",15.2,55836
"3026","Monroe County","WV",15.3,46879
"3027","Morgan County","WV",11,57432
"3028","Nicholas County","WV",19,42725
"3029","Ohio County","WV",18.1,41312
"3030","Pendleton County","WV",11.5,47167
"3031","Pleasants County","WV",13,55313
"3032","Pocahontas County","WV",18.1,41173
"3033","Preston County","WV",15.7,51757
"3034","Putnam County","WV",9.9,69175
"3035","Raleigh County","WV",21.8,44526
"3036","Randolph County","WV",15.2,48306
"3037","Ritchie County","WV",16.4,45066
"3038","Roane County","WV",20.7,42379
"3039","Summers County","WV",21.1,38692
"3040","Taylor County","WV",13.7,53587
"3041","Tucker County","WV",13.8,44461
"3042","Tyler County","WV",14.4,46693
"3043","Upshur County","WV",17.1,46171
"3044","Wayne County","WV",17.1,45507
"3045","Webster County","WV",23.7,34396
"3046","Wetzel County","WV",15.9,47322
"3047","Wirt County","WV",18,49504
"3048","Wood County","WV",14.4,47019
"3049","Wyoming County","WV",21.3,39143
"3050","Adams County","WI",12.3,52060
"3051","Ashland County","WI",12.5,52115
"3052","Barron County","WI",10,54963
"3053","Bayfield County","WI",11,58218
"3054","Brown County","WI",8.5,64905
"3055","Buffalo County","WI",8,56643
"3056","Burnett County","WI",10.7,57888
"3057","Calumet County","WI",4.5,79046
"3058","Chippewa County","WI",9.4,62841
"3059","Clark County","WI",13.1,55808
"3060","Columbia County","WI",6.9,74776
"3061","Crawford County","WI",13.3,53309
"3062","Dane County","WI",9.6,74829
"3063","Dodge County","WI",7.2,65540
"3064","Door County","WI",7.8,61319
"3065","Douglas County","WI",10,60898
"3066","Dunn County","WI",10.1,61880
"3067","Eau Claire County","WI",9.8,67409
"3068","Florence County","WI",10.6,50420
"3069","Fond du Lac County","WI",7.6,69280
"3070","Forest County","WI",12,54555
"3071","Grant County","WI",12,55779
"3072","Green County","WI",7.4,75666
"3073","Green Lake County","WI",9.7,61406
"3074","Iowa County","WI",7.2,75075
"3075","Iron County","WI",11.2,48614
"3076","Jackson County","WI",12.7,57164
"3077","Jefferson County","WI",7.3,71772
"3078","Juneau County","WI",11.9,56025
"3079","Kenosha County","WI",11,70368
"3080","Kewaunee County","WI",6.7,69077
"3081","La Crosse County","WI",10,63298
"3082","Lafayette County","WI",8.8,65235
"3083","Langlade County","WI",10.7,55259
"3084","Lincoln County","WI",7.7,61066
"3085","Manitowoc County","WI",7.9,62734
"3086","Marathon County","WI",6.7,67074
"3087","Marinette County","WI",9.4,56236
"3088","Marquette County","WI",10.3,52450
"3089","Menominee County","WI",22.6,41365
"3090","Milwaukee County","WI",19,52281
"3091","Monroe County","WI",10.5,63671
"3092","Oconto County","WI",7.6,65981
"3093","Oneida County","WI",7.8,59631
"3094","Outagamie County","WI",6.6,70727
"3095","Ozaukee County","WI",4.3,83274
"3096","Pepin County","WI",9.1,65068
"3097","Pierce County","WI",7.3,80523
"3098","Polk County","WI",8.9,65258
"3099","Portage County","WI",8.3,67228
"3100","Price County","WI",11.2,47172
"3101","Racine County","WI",9.4,66562
"3102","Richland County","WI",13.4,53970
"3103","Rock County","WI",9.3,66138
"3104","Rusk County","WI",11.7,50922
"3105","St. Croix County","WI",4.9,82797
"3106","Sauk County","WI",8.1,65746
"3107","Sawyer County","WI",12.3,50319
"3108","Shawano County","WI",10.3,58088
"3109","Sheboygan County","WI",7.6,64104
"3110","Taylor County","WI",9.6,55370
"3111","Trempealeau County","WI",7.3,59749
"3112","Vernon County","WI",11.9,56561
"3113","Vilas County","WI",9.7,54619
"3114","Walworth County","WI",8.3,67656
"3115","Washburn County","WI",10.4,54132
"3116","Washington County","WI",5.1,81659
"3117","Waukesha County","WI",4.2,92359
"3118","Waupaca County","WI",8,67078
"3119","Waushara County","WI",10.5,58929
"3120","Winnebago County","WI",8.7,64653
"3121","Wood County","WI",9.4,54154
"3122","Albany County","WY",15.3,59179
"3123","Big Horn County","WY",11.5,54684
"3124","Campbell County","WY",7.3,85022
"3125","Carbon County","WY",10.4,66589
"3126","Converse County","WY",8.2,79304
"3127","Crook County","WY",7.3,67443
"3128","Fremont County","WY",15,52010
"3129","Goshen County","WY",12.8,51398
"3130","Hot Springs County","WY",10.9,48864
"3131","Johnson County","WY",8.9,62671
"3132","Laramie County","WY",7.4,69450
"3133","Lincoln County","WY",6.9,73062
"3134","Natrona County","WY",9.4,65901
"3135","Niobrara County","WY",12.6,52837
"3136","Park County","WY",8.2,63093
"3137","Platte County","WY",9.9,60178
"3138","Sheridan County","WY",9.5,59947
"3139","Sublette County","WY",6.2,82442
"3140","Sweetwater County","WY",7.6,70583
"3141","Teton County","WY",5.2,92488
"3142","Uinta County","WY",8.5,71246
"3143","Washakie County","WY",9.7,58532
"3144","Weston County","WY",10.6,58901
