"","county","state","unemployment"
"1289","Monroe County","MI",6
"1290","Montcalm County","MI",5.6
"1291","Montmorency County","MI",9.4
"1292","Muskegon County","MI",7.5
"1293","Newaygo County","MI",5.6
"1294","Oakland County","MI",4.7
"1295","Oceana County","MI",7.4
"1296","Ogemaw County","MI",7.8
"1297","Ontonagon County","MI",7.6
"1298","Osceola County","MI",5.5
"1299","Oscoda County","MI",9.1
"1300","Otsego County","MI",6.8
"1301","Ottawa County","MI",4.1
"1302","Presque Isle County","MI",7.9
"1303","Roscommon County","MI",9.6
"1304","Saginaw County","MI",7.1
"1305","St. Clair County","MI",5.9
"1306","St. Joseph County","MI",5.1
"1307","Sanilac County","MI",6.1
"1308","Schoolcraft County","MI",8
"1309","Shiawassee County","MI",5.7
"1310","Tuscola County","MI",6.3
"1311","Van Buren County","MI",6.1
"1312","Washtenaw County","MI",4.3
"1313","Wayne County","MI",8
"1314","Wexford County","MI",6
"1315","Aitkin County","MN",4.7
"1316","Anoka County","MN",3.4
"1317","Becker County","MN",3.4
"1318","Beltrami County","MN",3.7
"1319","Benton County","MN",4.3
"1320","Big Stone County","MN",3.5
"1321","Blue Earth County","MN",3.1
"1322","Brown County","MN",3.1
"1323","Carlton County","MN",4
"1324","Carver County","MN",2.7
"1325","Cass County","MN",4.4
"1326","Chippewa County","MN",3
"1327","Chisago County","MN",3.7
"1328","Clay County","MN",2.7
"1329","Clearwater County","MN",5.8
"1330","Cook County","MN",4.5
"1331","Cottonwood County","MN",3.4
"1332","Crow Wing County","MN",4
"1333","Dakota County","MN",3.1
"1334","Dodge County","MN",3.1
"1335","Douglas County","MN",2.8
"1336","Faribault County","MN",3.8
"1337","Fillmore County","MN",3
"1338","Freeborn County","MN",3.5
"1339","Goodhue County","MN",3.2
"1340","Grant County","MN",3.7
"1341","Hennepin County","MN",3.4
"1342","Houston County","MN",2.9
"1343","Hubbard County","MN",4.1
"1344","Isanti County","MN",4.1
"1345","Itasca County","MN",4.7
"1346","Jackson County","MN",3.1
"1347","Kanabec County","MN",5.3
"1348","Kandiyohi County","MN",3.6
"1349","Kittson County","MN",2.9
"1350","Koochiching County","MN",4.4
"1351","Lac qui Parle County","MN",2.8
"1352","Lake County","MN",3.6
"1353","Lake of the Woods County","MN",3.7
"1354","Le Sueur County","MN",4.1
"1355","Lincoln County","MN",3.3
"1356","Lyon County","MN",2.7
"1357","McLeod County","MN",3.4
"1358","Mahnomen County","MN",5.9
"1359","Marshall County","MN",4.2
"1360","Martin County","MN",3.2
"1361","Meeker County","MN",3.4
"1362","Mille Lacs County","MN",5.2
"1363","Morrison County","MN",4.4
"1364","Mower County","MN",3.1
"1365","Murray County","MN",3.8
"1366","Nicollet County","MN",2.8
"1367","Nobles County","MN",2.9
"1368","Norman County","MN",3.9
"1369","Olmsted County","MN",2.8
"1370","Otter Tail County","MN",3.4
"1371","Pennington County","MN",3.7
"1372","Pine County","MN",5
"1373","Pipestone County","MN",2.9
"1374","Polk County","MN",3.8
"1375","Pope County","MN",2.8
"1376","Ramsey County","MN",3.8
"1377","Red Lake County","MN",4
"1378","Redwood County","MN",3.4
"1379","Renville County","MN",3.9
"1380","Rice County","MN",3.2
"1381","Rock County","MN",1.9
"1382","Roseau County","MN",2.9
"1383","St. Louis County","MN",3.8
"1384","Scott County","MN",3
"1385","Sherburne County","MN",3.5
"1386","Sibley County","MN",3.6
"1387","Stearns County","MN",3.6
"1388","Steele County","MN",3.3
"1389","Stevens County","MN",2.4
"1390","Swift County","MN",3.7
"1391","Todd County","MN",3.7
"1392","Traverse County","MN",3.1
"1393","Wabasha County","MN",3
"1394","Wadena County","MN",4.5
"1395","Waseca County","MN",3.9
"1396","Washington County","MN",2.9
"1397","Watonwan County","MN",3
"1398","Wilkin County","MN",2.8
"1399","Winona County","MN",2.9
"1400","Wright County","MN",3.1
"1401","Yellow Medicine County","MN",3
"1402","Adams County","MS",8.2
"1403","Alcorn County","MS",4.8
"1404","Amite County","MS",7.3
"1405","Attala County","MS",6
"1406","Benton County","MS",6.4
"1407","Bolivar County","MS",6.9
"1408","Calhoun County","MS",5.2
"1409","Carroll County","MS",5.8
"1410","Chickasaw County","MS",6.3
"1411","Choctaw County","MS",4.8
"1412","Claiborne County","MS",11.7
"1413","Clarke County","MS",6.3
"1414","Clay County","MS",7.2
"1415","Coahoma County","MS",8.8
"1416","Copiah County","MS",6.5
"1417","Covington County","MS",5.1
"1418","DeSoto County","MS",4.4
"1419","Forrest County","MS",5.7
"1420","Franklin County","MS",6.8
"1421","George County","MS",7
"1422","Greene County","MS",7.6
"1423","Grenada County","MS",5
"1424","Hancock County","MS",5.8
"1425","Harrison County","MS",5.5
"1426","Hinds County","MS",6.2
"1427","Holmes County","MS",11
"1428","Humphreys County","MS",12.7
"1429","Issaquena County","MS",9.3
"1430","Itawamba County","MS",4.3
"1431","Jackson County","MS",6
"1432","Jasper County","MS",7.3
"1433","Jefferson County","MS",16.6
"1434","Jefferson Davis County","MS",7.7
"1435","Jones County","MS",5.7
"1436","Kemper County","MS",7.4
"1437","Lafayette County","MS",4.1
"1438","Lamar County","MS",4.1
"1439","Lauderdale County","MS",5.4
"1440","Lawrence County","MS",6.9
"1441","Leake County","MS",5.6
"1442","Lee County","MS",4.6
"1443","Leflore County","MS",8.1
"1444","Lincoln County","MS",5
"1445","Lowndes County","MS",5.9
"1446","Madison County","MS",4.3
"1447","Marion County","MS",5.3
"1448","Marshall County","MS",5.8
"1449","Monroe County","MS",5.2
"1450","Montgomery County","MS",6.1
"1451","Neshoba County","MS",5.6
"1452","Newton County","MS",5.4
"1453","Noxubee County","MS",8.9
"1454","Oktibbeha County","MS",5.5
"1455","Panola County","MS",7.1
"1456","Pearl River County","MS",5.6
"1457","Perry County","MS",6.5
"1458","Pike County","MS",7.1
"1459","Pontotoc County","MS",4.4
"1460","Prentiss County","MS",4.4
"1461","Quitman County","MS",8.5
"1462","Rankin County","MS",3.6
"1463","Scott County","MS",4.7
"1464","Sharkey County","MS",9.4
"1465","Simpson County","MS",5.2
"1466","Smith County","MS",4.5
"1467","Stone County","MS",5.4
"1468","Sunflower County","MS",9.1
"1469","Tallahatchie County","MS",6.1
"1470","Tate County","MS",5.6
"1471","Tippah County","MS",4.6
"1472","Tishomingo County","MS",4.6
"1473","Tunica County","MS",8.9
"1474","Union County","MS",4.1
"1475","Walthall County","MS",6.9
"1476","Warren County","MS",6.2
"1477","Washington County","MS",8.2
"1478","Wayne County","MS",6.7
"1479","Webster County","MS",5.4
"1480","Wilkinson County","MS",11.1
"1481","Winston County","MS",6.2
"1482","Yalobusha County","MS",5.5
"1483","Yazoo County","MS",7.3
"1484","Adair County","MO",4.3
"1485","Andrew County","MO",3
"1486","Atchison County","MO",3.2
"1487","Audrain County","MO",3.7
"1488","Barry County","MO",4.6
"1489","Barton County","MO",3.4
"1490","Bates County","MO",4.3
"1491","Benton County","MO",5.7
"1492","Bollinger County","MO",4.2
"1493","Boone County","MO",3
"1494","Buchanan County","MO",3.8
"1495","Butler County","MO",4.7
"1496","Caldwell County","MO",5.1
"1497","Callaway County","MO",3.4
"1498","Camden County","MO",5
"1499","Cape Girardeau County","MO",3.6
"1500","Carroll County","MO",4.4
"1501","Carter County","MO",5.2
"1502","Cass County","MO",3.9
"1503","Cedar County","MO",3.7
"1504","Chariton County","MO",3.3
"1505","Christian County","MO",3.2
"1506","Clark County","MO",4.6
"1507","Clay County","MO",4.9
"1508","Clinton County","MO",5.3
"1509","Cole County","MO",3.1
"1510","Cooper County","MO",3.6
"1511","Crawford County","MO",4.5
"1512","Dade County","MO",3.3
"1513","Dallas County","MO",4.3
"1514","Daviess County","MO",3.8
"1515","DeKalb County","MO",3.8
"1516","Dent County","MO",4.3
"1517","Douglas County","MO",4.3
"1518","Dunklin County","MO",6.1
"1519","Franklin County","MO",4
"1520","Gasconade County","MO",3.6
"1521","Gentry County","MO",2.7
"1522","Greene County","MO",3.4
"1523","Grundy County","MO",3.6
"1524","Harrison County","MO",3.5
"1525","Henry County","MO",4
"1526","Hickory County","MO",4
"1527","Holt County","MO",2.9
"1528","Howard County","MO",3.2
"1529","Howell County","MO",4.8
"1530","Iron County","MO",5.8
"1531","Jackson County","MO",5.5
"1532","Jasper County","MO",3.7
"1533","Jefferson County","MO",4.1
"1534","Johnson County","MO",4.4
"1535","Knox County","MO",3.1
"1536","Laclede County","MO",4.3
"1537","Lafayette County","MO",4.3
"1538","Lawrence County","MO",4
"1539","Lewis County","MO",3.5
"1540","Lincoln County","MO",4.6
"1541","Linn County","MO",5.4
"1542","Livingston County","MO",3
"1543","McDonald County","MO",3.9
"1544","Macon County","MO",3.7
"1545","Madison County","MO",4.4
"1546","Maries County","MO",3.8
"1547","Marion County","MO",3.5
"1548","Mercer County","MO",2.9
"1549","Miller County","MO",4.1
"1550","Mississippi County","MO",4.7
"1551","Moniteau County","MO",3.4
"1552","Monroe County","MO",4.4
"1553","Montgomery County","MO",3.7
"1554","Morgan County","MO",4.7
"1555","New Madrid County","MO",4.8
"1556","Newton County","MO",3.8
"1557","Nodaway County","MO",2.9
"1558","Oregon County","MO",5.3
"1559","Osage County","MO",2.6
"1560","Ozark County","MO",5.5
"1561","Pemiscot County","MO",7.3
"1562","Perry County","MO",3.2
"1563","Pettis County","MO",4.7
"1564","Phelps County","MO",3.7
"1565","Pike County","MO",3.9
"1566","Platte County","MO",4
"1567","Polk County","MO",3.5
"1568","Pulaski County","MO",4.4
"1569","Putnam County","MO",3.1
"1570","Ralls County","MO",3.4
"1571","Randolph County","MO",4.2
"1572","Ray County","MO",6.5
"1573","Reynolds County","MO",4.1
"1574","Ripley County","MO",5.5
"1575","St. Charles County","MO",3.5
"1576","St. Clair County","MO",4.5
"1577","Ste. Genevieve County","MO",3.4
"1578","St. Francois County","MO",4.8
"1579","St. Louis County","MO",4.5
"1580","Saline County","MO",3.5
"1581","Schuyler County","MO",4.3
"1582","Scotland County","MO",2.6
"1583","Scott County","MO",3.9
"1584","Shannon County","MO",5.6
"1585","Shelby County","MO",3.3
"1586","Stoddard County","MO",4.5
"1587","Stone County","MO",6.6
"1588","Sullivan County","MO",4.9
"1589","Taney County","MO",7.5
"1590","Texas County","MO",4.6
"1591","Vernon County","MO",3.4
"1592","Warren County","MO",4.1
"1593","Washington County","MO",5.1
"1594","Wayne County","MO",5
"1595","Webster County","MO",3.4
"1596","Worth County","MO",2.5
"1597","Wright County","MO",4
"1598","St. Louis city","MO",6.4
"1599","Beaverhead County","MT",2.8
"1600","Big Horn County","MT",7.8
"1601","Blaine County","MT",3.8
"1602","Broadwater County","MT",4
"1603","Carbon County","MT",3.4
"1604","Carter County","MT",2.6
"1605","Cascade County","MT",3.3
"1606","Chouteau County","MT",2.7
"1607","Custer County","MT",3.1
"1608","Daniels County","MT",1.9
"1609","Dawson County","MT",3.1
"1610","Deer Lodge County","MT",3.3
"1611","Fallon County","MT",2.6
"1612","Fergus County","MT",3.3
"1613","Flathead County","MT",4
"1614","Gallatin County","MT",2.4
"1615","Garfield County","MT",2.6
"1616","Glacier County","MT",7
"1617","Golden Valley County","MT",3.5
"1618","Granite County","MT",4.4
"1619","Hill County","MT",3.1
"1620","Jefferson County","MT",3.2
"1621","Judith Basin County","MT",2.7
"1622","Lake County","MT",3.8
"1623","Lewis and Clark County","MT",3
"1624","Liberty County","MT",2.4
"1625","Lincoln County","MT",6
"1626","McCone County","MT",1.8
"1627","Madison County","MT",3.2
"1628","Meagher County","MT",2.5
"1629","Mineral County","MT",5.3
"1630","Missoula County","MT",3.4
"1631","Musselshell County","MT",4.2
"1632","Park County","MT",3.5
"1633","Petroleum County","MT",2.6
"1634","Phillips County","MT",3.8
"1635","Pondera County","MT",3.2
"1636","Powder River County","MT",2.7
"1637","Powell County","MT",2.6
"1638","Prairie County","MT",3.6
"1639","Ravalli County","MT",3.6
"1640","Richland County","MT",4
"1641","Roosevelt County","MT",4.2
"1642","Rosebud County","MT",4
"1643","Sanders County","MT",4.8
"1644","Sheridan County","MT",3.3
"1645","Silver Bow County","MT",3.6
"1646","Stillwater County","MT",2.9
"1647","Sweet Grass County","MT",2.4
"1648","Teton County","MT",3.1
"1649","Toole County","MT",2.6
"1650","Treasure County","MT",3.2
"1651","Valley County","MT",3.1
"1652","Wheatland County","MT",5.3
"1653","Wibaux County","MT",3.8
"1654","Yellowstone County","MT",3.2
"1655","Adams County","NE",2.4
"1656","Antelope County","NE",1.7
"1657","Arthur County","NE",2.6
"1658","Banner County","NE",2.1
"1659","Blaine County","NE",2.4
"1660","Boone County","NE",1.6
"1661","Box Butte County","NE",2.4
"1662","Boyd County","NE",2
"1663","Brown County","NE",2.3
"1664","Buffalo County","NE",2
"1665","Burt County","NE",2.4
"1666","Butler County","NE",2.2
"1667","Cass County","NE",2.7
"1668","Cedar County","NE",1.8
"1669","Chase County","NE",1.6
"1670","Cherry County","NE",1.6
"1671","Cheyenne County","NE",2.8
"1672","Clay County","NE",2.3
"1673","Colfax County","NE",1.9
"1674","Cuming County","NE",1.7
"1675","Custer County","NE",1.6
"1676","Dakota County","NE",3
"1677","Dawes County","NE",1.9
"1678","Dawson County","NE",2.1
"1679","Deuel County","NE",2.1
"1680","Dixon County","NE",2.1
"1681","Dodge County","NE",2.4
"1682","Douglas County","NE",3
"1683","Dundy County","NE",1.6
"1684","Fillmore County","NE",1.9
"1685","Franklin County","NE",2.2
"1686","Frontier County","NE",1.7
"1687","Furnas County","NE",1.9
"1688","Gage County","NE",2.4
"1689","Garden County","NE",2.1
"1690","Garfield County","NE",2
"1691","Gosper County","NE",1.7
"1692","Grant County","NE",1.4
"1693","Greeley County","NE",1.9
"1694","Hall County","NE",2.9
"1695","Hamilton County","NE",2.1
"1696","Harlan County","NE",1.9
"1697","Hayes County","NE",1.3
"1698","Hitchcock County","NE",2.3
"1699","Holt County","NE",1.7
"1700","Hooker County","NE",1.6
"1701","Howard County","NE",2.2
"1702","Jefferson County","NE",1.8
"1703","Johnson County","NE",2.9
"1704","Kearney County","NE",1.8
"1705","Keith County","NE",2
"1706","Keya Paha County","NE",1.7
"1707","Kimball County","NE",2.2
"1708","Knox County","NE",2
"1709","Lancaster County","NE",2.4
"1710","Lincoln County","NE",2.2
"1711","Logan County","NE",1.7
"1712","Loup County","NE",2
"1713","McPherson County","NE",1.6
"1714","Madison County","NE",2.4
"1715","Merrick County","NE",2.3
"1716","Morrill County","NE",2.5
"1717","Nance County","NE",1.9
"1718","Nemaha County","NE",2.2
"1719","Nuckolls County","NE",1.8
"1720","Otoe County","NE",2.3
"1721","Pawnee County","NE",1.8
"1722","Perkins County","NE",1.4
"1723","Phelps County","NE",1.7
"1724","Pierce County","NE",2.1
"1725","Platte County","NE",2.1
"1726","Polk County","NE",1.9
"1727","Red Willow County","NE",2
"1728","Richardson County","NE",2.4
"1729","Rock County","NE",1.3
"1730","Saline County","NE",2.3
"1731","Sarpy County","NE",2.4
"1732","Saunders County","NE",2.2
"1733","Scotts Bluff County","NE",2.8
"1734","Seward County","NE",2.5
"1735","Sheridan County","NE",1.8
"1736","Sherman County","NE",2.1
"1737","Sioux County","NE",1.8
"1738","Stanton County","NE",2.1
"1739","Thayer County","NE",1.7
"1740","Thomas County","NE",2.6
"1741","Thurston County","NE",3.3
"1742","Valley County","NE",2.1
"1743","Washington County","NE",2.3
"1744","Wayne County","NE",1.9
"1745","Webster County","NE",2
"1746","Wheeler County","NE",1.2
"1747","York County","NE",1.9
"1748","Churchill County","NV",3.5
"1749","Clark County","NV",8.3
"1750","Douglas County","NV",4.5
"1751","Elko County","NV",3.3
"1752","Esmeralda County","NV",3.8
"1753","Eureka County","NV",2.6
"1754","Humboldt County","NV",3.4
"1755","Lander County","NV",3.6
"1756","Lincoln County","NV",3.4
"1757","Lyon County","NV",5.2
"1758","Mineral County","NV",3.8
"1759","Nye County","NV",6.1
"1760","Pershing County","NV",3.6
"1761","Storey County","NV",4.6
"1762","Washoe County","NV",4.3
"1763","White Pine County","NV",3
"1764","Carson City","NV",4.8
"1765","Belknap County","NH",3.7
"1766","Carroll County","NH",3.8
"1767","Cheshire County","NH",3.9
"1768","Coos County","NH",4.4
"1769","Grafton County","NH",3.3
"1770","Hillsborough County","NH",3.6
"1771","Merrimack County","NH",3.2
"1772","Rockingham County","NH",3.5
"1773","Strafford County","NH",3.3
"1774","Sullivan County","NH",3.3
"1775","Atlantic County","NJ",9.5
"1776","Bergen County","NJ",6
"1777","Burlington County","NJ",5.3
"1778","Camden County","NJ",6.8
"1779","Cape May County","NJ",8.9
"1780","Cumberland County","NJ",7.7
"1781","Essex County","NJ",8
"1782","Gloucester County","NJ",6
"1783","Hudson County","NJ",6.8
"1784","Hunterdon County","NJ",4.6
"1785","Mercer County","NJ",5.2
"1786","Middlesex County","NJ",5.7
"1787","Monmouth County","NJ",5.5
"1788","Morris County","NJ",5
"1789","Ocean County","NJ",6
"1790","Passaic County","NJ",8.4
"1791","Salem County","NJ",7.3
"1792","Somerset County","NJ",5.1
"1793","Sussex County","NJ",5.9
"1794","Union County","NJ",6.7
"1795","Warren County","NJ",5.5
"1796","Bernalillo County","NM",6.2
"1797","Catron County","NM",6.2
"1798","Chaves County","NM",7.1
"1799","Cibola County","NM",9.3
"1800","Colfax County","NM",5.9
"1801","Curry County","NM",4.9
"1802","De Baca County","NM",5.1
"1803","Dona Ana County","NM",6.6
"1804","Eddy County","NM",6.4
"1805","Grant County","NM",7.3
"1806","Guadalupe County","NM",7
"1807","Harding County","NM",4.6
"1808","Hidalgo County","NM",5.4
"1809","Lea County","NM",9.6
"1810","Lincoln County","NM",7.5
"1811","Los Alamos County","NM",3
"1812","Luna County","NM",15.2
"1813","McKinley County","NM",9.6
"1814","Mora County","NM",6.2
"1815","Otero County","NM",6.6
"1816","Quay County","NM",7.1
"1817","Rio Arriba County","NM",7
"1818","Roosevelt County","NM",5.6
"1819","Sandoval County","NM",6.6
"1820","San Juan County","NM",8
"1821","San Miguel County","NM",7.3
"1822","Santa Fe County","NM",6.2
"1823","Sierra County","NM",8.1
"1824","Socorro County","NM",6.3
"1825","Taos County","NM",8.9
"1826","Torrance County","NM",7.9
"1827","Union County","NM",4.2
"1828","Valencia County","NM",6.9
"1829","Albany County","NY",4.4
"1830","Allegany County","NY",5
"1831","Bronx County","NY",13.6
"1832","Broome County","NY",5.2
"1833","Cattaraugus County","NY",5.3
"1834","Cayuga County","NY",4.7
"1835","Chautauqua County","NY",5.6
"1836","Chemung County","NY",5.3
"1837","Chenango County","NY",4.4
"1838","Clinton County","NY",4.6
"1839","Columbia County","NY",3.8
"1840","Cortland County","NY",5.1
"1841","Delaware County","NY",4.6
"1842","Dutchess County","NY",4.4
"1843","Erie County","NY",5.5
"1844","Essex County","NY",4.7
"1845","Franklin County","NY",4.7
"1846","Fulton County","NY",5.5
"1847","Genesee County","NY",4.3
"1848","Greene County","NY",4.9
"1849","Hamilton County","NY",4.4
"1850","Herkimer County","NY",5.8
"1851","Jefferson County","NY",5
"1852","Kings County","NY",10.1
"1853","Lewis County","NY",5
"1854","Livingston County","NY",4.3
"1855","Madison County","NY",4.5
"1856","Monroe County","NY",5.2
"1857","Montgomery County","NY",5.7
"1858","Nassau County","NY",4.5
"1859","New York County","NY",7.6
"1860","Niagara County","NY",5.7
"1861","Oneida County","NY",5.1
"1862","Onondaga County","NY",4.9
"1863","Ontario County","NY",4.3
"1864","Orange County","NY",4.7
"1865","Orleans County","NY",5.2
"1866","Oswego County","NY",5.5
"1867","Otsego County","NY",4.4
"1868","Putnam County","NY",4.2
"1869","Queens County","NY",9.6
"1870","Rensselaer County","NY",4.4
"1871","Richmond County","NY",8.7
"1872","Rockland County","NY",4.4
"1873","St. Lawrence County","NY",5.1
"1874","Saratoga County","NY",3.8
"1875","Schenectady County","NY",4.9
"1876","Schoharie County","NY",4.5
"1877","Schuyler County","NY",4.9
"1878","Seneca County","NY",4.7
"1879","Steuben County","NY",5
"1880","Suffolk County","NY",4.6
"1881","Sullivan County","NY",4.9
"1882","Tioga County","NY",4.4
"1883","Tompkins County","NY",3.7
"1884","Ulster County","NY",4.7
"1885","Warren County","NY",4.9
"1886","Washington County","NY",4.6
"1887","Wayne County","NY",4.5
"1888","Westchester County","NY",4.8
"1889","Wyoming County","NY",4.5
"1890","Yates County","NY",3.8
"1891","Alamance County","NC",4.8
"1892","Alexander County","NC",4.2
"1893","Alleghany County","NC",4.6
"1894","Anson County","NC",6.3
"1895","Ashe County","NC",4
"1896","Avery County","NC",3.9
"1897","Beaufort County","NC",4.8
"1898","Bertie County","NC",5.9
"1899","Bladen County","NC",5.8
"1900","Brunswick County","NC",6
"1901","Buncombe County","NC",4.2
"1902","Burke County","NC",4.5
"1903","Cabarrus County","NC",4.4
"1904","Caldwell County","NC",4.9
"1905","Camden County","NC",3.9
"1906","Carteret County","NC",4.1
"1907","Caswell County","NC",5.3
"1908","Catawba County","NC",4.7
"1909","Chatham County","NC",3.6
"1910","Cherokee County","NC",5
"1911","Chowan County","NC",4.9
"1912","Clay County","NC",4.9
"1913","Cleveland County","NC",5.3
"1914","Columbus County","NC",6.3
"1915","Craven County","NC",4.7
"1916","Cumberland County","NC",6.9
"1917","Currituck County","NC",4.1
"1918","Dare County","NC",6
"1919","Davidson County","NC",4.5
"1920","Davie County","NC",4.3
"1921","Duplin County","NC",4.4
"1922","Durham County","NC",4.1
"1923","Edgecombe County","NC",8.5
"1924","Forsyth County","NC",4.9
"1925","Franklin County","NC",4.7
"1926","Gaston County","NC",5.2
"1927","Gates County","NC",4.3
"1928","Graham County","NC",6.9
"1929","Granville County","NC",4
"1930","Greene County","NC",4.1
"1931","Guilford County","NC",5.6
"1932","Halifax County","NC",7.5
"1933","Harnett County","NC",5.3
"1934","Haywood County","NC",4.2
"1935","Henderson County","NC",4.1
"1936","Hertford County","NC",6.5
"1937","Hoke County","NC",6.4
"1938","Hyde County","NC",6.5
"1939","Iredell County","NC",4.6
"1940","Jackson County","NC",4.5
"1941","Johnston County","NC",4.2
"1942","Jones County","NC",4.2
"1943","Lee County","NC",5.4
"1944","Lenoir County","NC",5
"1945","Lincoln County","NC",4.1
"1946","McDowell County","NC",4.5
"1947","Macon County","NC",4.2
"1948","Madison County","NC",4.3
"1949","Martin County","NC",5.5
"1950","Mecklenburg County","NC",4.9
"1951","Mitchell County","NC",5.1
"1952","Montgomery County","NC",4.7
"1953","Moore County","NC",4.6
"1954","Nash County","NC",6.3
"1955","New Hanover County","NC",4.2
"1956","Northampton County","NC",6.2
"1957","Onslow County","NC",5.1
"1958","Orange County","NC",3.5
"1959","Pamlico County","NC",4.3
"1960","Pasquotank County","NC",5.4
"1961","Pender County","NC",4.2
"1962","Perquimans County","NC",5.3
"1963","Person County","NC",5
"1964","Pitt County","NC",5
"1965","Polk County","NC",4.7
"1966","Randolph County","NC",4.7
"1967","Richmond County","NC",7.3
"1968","Robeson County","NC",7.6
"1969","Rockingham County","NC",5.5
"1970","Rowan County","NC",5
"1971","Rutherford County","NC",6.5
"1972","Sampson County","NC",4.5
"1973","Scotland County","NC",9.5
"1974","Stanly County","NC",4.4
"1975","Stokes County","NC",4.2
"1976","Surry County","NC",4.4
"1977","Swain County","NC",4.5
"1978","Transylvania County","NC",4.1
"1979","Tyrrell County","NC",7
"1980","Union County","NC",3.9
"1981","Vance County","NC",7.9
"1982","Wake County","NC",4
"1983","Warren County","NC",7.7
"1984","Washington County","NC",6.9
"1985","Watauga County","NC",3.7
"1986","Wayne County","NC",5
"1987","Wilkes County","NC",4.7
"1988","Wilson County","NC",6.7
"1989","Yadkin County","NC",4.2
"1990","Yancey County","NC",4.3
"1991","Adams County","ND",3.4
"1992","Barnes County","ND",3.1
"1993","Benson County","ND",5
"1994","Billings County","ND",2.9
"1995","Bottineau County","ND",4.8
"1996","Bowman County","ND",2.5
"1997","Burke County","ND",4.3
"1998","Burleigh County","ND",3.1
"1999","Cass County","ND",2.9
"2000","Cavalier County","ND",3.1
"2001","Dickey County","ND",2.7
"2002","Divide County","ND",2.4
"2003","Dunn County","ND",3.3
"2004","Eddy County","ND",4
"2005","Emmons County","ND",4.6
"2006","Foster County","ND",2.8
"2007","Golden Valley County","ND",2.7
"2008","Grand Forks County","ND",3.2
"2009","Grant County","ND",2.7
"2010","Griggs County","ND",2.8
"2011","Hettinger County","ND",3.2
"2012","Kidder County","ND",5.2
"2013","LaMoure County","ND",2.3
"2014","Logan County","ND",3
"2015","McHenry County","ND",4.3
"2016","McIntosh County","ND",3.5
"2017","McKenzie County","ND",5.5
"2018","McLean County","ND",3.7
"2019","Mercer County","ND",4.7
"2020","Morton County","ND",3.8
"2021","Mountrail County","ND",3.5
"2022","Nelson County","ND",3.7
"2023","Oliver County","ND",3.8
"2024","Pembina County","ND",4.8
"2025","Pierce County","ND",3.4
"2026","Ramsey County","ND",3.3
"2027","Ransom County","ND",2.6
"2028","Renville County","ND",3.4
"2029","Richland County","ND",2.7
"2030","Rolette County","ND",10.6
"2031","Sargent County","ND",2.7
"2032","Sheridan County","ND",5.3
"2033","Sioux County","ND",3.5
"2034","Slope County","ND",2.8
"2035","Stark County","ND",4.7
"2036","Steele County","ND",3
"2037","Stutsman County","ND",3
"2038","Towner County","ND",3.3
"2039","Traill County","ND",3
"2040","Walsh County","ND",4.6
"2041","Ward County","ND",4.3
"2042","Wells County","ND",4.2
"2043","Williams County","ND",6.7
"2044","Adams County","OH",6.3
"2045","Allen County","OH",5.7
"2046","Ashland County","OH",4.3
"2047","Ashtabula County","OH",5.5
"2048","Athens County","OH",5.6
"2049","Auglaize County","OH",3.7
"2050","Belmont County","OH",6.1
"2051","Brown County","OH",5.3
"2052","Butler County","OH",4.5
"2053","Carroll County","OH",5.7
"2054","Champaign County","OH",4.4
"2055","Clark County","OH",5.3
"2056","Clermont County","OH",4.3
"2057","Clinton County","OH",5.5
"2058","Columbiana County","OH",5.7
"2059","Coshocton County","OH",5.8
"2060","Crawford County","OH",5.8
"2061","Cuyahoga County","OH",6.5
"2062","Darke County","OH",3.9
"2063","Defiance County","OH",4.7
"2064","Delaware County","OH",3.6
"2065","Erie County","OH",6.3
"2066","Fairfield County","OH",4.3
"2067","Fayette County","OH",4.8
"2068","Franklin County","OH",5
"2069","Fulton County","OH",4.7
"2070","Gallia County","OH",5.6
"2071","Geauga County","OH",4.1
"2072","Greene County","OH",4.3
"2073","Guernsey County","OH",5.6
"2074","Hamilton County","OH",4.9
"2075","Hancock County","OH",4.1
"2076","Hardin County","OH",5.2
"2077","Harrison County","OH",6.2
"2078","Henry County","OH",5.2
"2079","Highland County","OH",5.6
"2080","Hocking County","OH",4.8
"2081","Holmes County","OH",2.8
"2082","Huron County","OH",5.8
"2083","Jackson County","OH",6.1
"2084","Jefferson County","OH",6.5
"2085","Knox County","OH",4
"2086","Lake County","OH",5.1
"2087","Lawrence County","OH",5.1
"2088","Licking County","OH",4.1
"2089","Logan County","OH",4.1
"2090","Lorain County","OH",5.8
"2091","Lucas County","OH",6.2
"2092","Madison County","OH",3.8
"2093","Mahoning County","OH",6.3
"2094","Marion County","OH",4.7
"2095","Medina County","OH",4.3
"2096","Meigs County","OH",6.6
"2097","Mercer County","OH",3.1
"2098","Miami County","OH",4.3
"2099","Monroe County","OH",7.3
"2100","Montgomery County","OH",5.6
"2101","Morgan County","OH",6.2
"2102","Morrow County","OH",4.5
"2103","Muskingum County","OH",5.1
"2104","Noble County","OH",6.8
"2105","Ottawa County","OH",6.1
"2106","Paulding County","OH",4.3
"2107","Perry County","OH",5.6
"2108","Pickaway County","OH",4.5
"2109","Pike County","OH",6.3
"2110","Portage County","OH",4.7
"2111","Preble County","OH",4.1
"2112","Putnam County","OH",3.4
"2113","Richland County","OH",5.6
"2114","Ross County","OH",4.8
