"","county","state","metro","vaccinated"
"654","Union Parish","LA","Metro",45.4
"655","Caroline County","MD","Non-metro",57.1
"656","Montgomery County","MD","Metro",86.8
"657","Wayne County","MI","Metro",54.2
"658","Greene County","MO","Metro",49.2
"659","Macon County","MO","Non-metro",40.4
"660","Lee County","MS","Non-metro",43.5
"661","Wells County","ND","Non-metro",43.3
"662","Keya Paha County","NE","Non-metro",28.7
"663","Middlesex County","NJ","Metro",73.6
"664","Bernalillo County","NM","Metro",70
"665","Montgomery County","NY","Non-metro",66.9
"666","Nassau County","NY","Metro",81.6
"667","Defiance County","OH","Non-metro",49.1
"668","Knox County","OH","Non-metro",43
"669","Ross County","OH","Non-metro",50.5
"670","Wyandot County","OH","Non-metro",47.6
"671","Wheeler County","OR","Non-metro",54.3
"672","Yamhill County","OR","Metro",63.2
"673","Sullivan County","PA","Non-metro",53.6
"674","Hampton County","SC","Non-metro",63.9
"675","Campbell County","TN","Metro",43.8
"676","Tipton County","TN","Metro",40.5
"677","Briscoe County","TX","Non-metro",44.8
"678","Crane County","TX","Non-metro",37.3
"679","Scurry County","TX","Non-metro",47.3
"680","Lunenburg County","VA","Non-metro",49.9
"681","Salem city","VA","Metro",46.7
"682","Kittitas County","WA","Non-metro",53.9
"683","Mason County","WA","Non-metro",61
"684","Whitman County","WA","Non-metro",46.7
"685","Washburn County","WI","Non-metro",63.1
"686","Tucker County","WV","Non-metro",60.7
"687","Peoria County","IL","Metro",61.5
"688","Spencer County","IN","Non-metro",44.4
"689","Vanderburgh County","IN","Metro",57.3
"690","Wells County","IN","Metro",41.7
"691","Allen County","KS","Non-metro",46.2
"692","Coffey County","KS","Non-metro",53.4
"693","Lane County","KS","Non-metro",43
"694","Wichita County","KS","Non-metro",51.2
"695","Boyd County","KY","Metro",49.2
"696","Edmonson County","KY","Metro",34.6
"697","Muhlenberg County","KY","Non-metro",51
"698","Wolfe County","KY","Non-metro",53.8
"699","Ascension Parish","LA","Metro",50.9
"700","Plymouth County","MA","Metro",69.9
"701","Christian County","MO","Metro",46
"702","Harrison County","MS","Metro",55.1
"703","Jackson County","MS","Metro",47.7
"704","Lowndes County","MS","Non-metro",51
"705","Marion County","MS","Non-metro",46.2
"706","Onslow County","NC","Metro",61
"707","Yadkin County","NC","Metro",49.6
"708","Box Butte County","NE","Non-metro",34
"709","Sussex County","NJ","Metro",62.8
"710","Orange County","NY","Metro",64.8
"711","Choctaw County","OK","Non-metro",35.4
"712","Harney County","OR","Non-metro",46
"713","Tillamook County","OR","Non-metro",64.5
"714","Arecibo Municipio","PR","Metro",81.6
"715","Mayaguez Municipio","PR","Metro",81.4
"716","Chesterfield County","SC","Non-metro",36.8
"717","Jones County","SD","Non-metro",73.4
"718","Williamson County","TN","Metro",66.2
"719","Gaines County","TX","Non-metro",22
"720","Lee County","TX","Non-metro",47.2
"721","Walker County","TX","Non-metro",48.2
"722","Charlotte County","VA","Non-metro",38.4
"723","Patrick County","VA","Non-metro",39.8
"724","Pepin County","WI","Non-metro",49.7
"725","Wood County","WI","Non-metro",61.7
"726","Kenai Peninsula Borough","AK","Non-metro",48.2
"727","Independence County","AR","Non-metro",41.3
"728","Los Angeles County","CA","Metro",72
"729","San Luis Obispo County","CA","Metro",60.5
"730","Larimer County","CO","Metro",67.9
"731","Chatham County","GA","Metro",56.1
"732","Laurens County","GA","Non-metro",46.5
"733","Seminole County","GA","Non-metro",45.5
"734","Twiggs County","GA","Metro",53.9
"735","Clay County","IA","Non-metro",51.8
"736","Mahaska County","IA","Non-metro",44.3
"737","Madison County","ID","Non-metro",54.8
"738","Fulton County","AR","Non-metro",32.5
"739","Poinsett County","AR","Metro",44.7
"740","Sebastian County","AR","Metro",49.6
"741","San Bernardino County","CA","Metro",57.8
"742","San Francisco County","CA","Metro",83.4
"743","Harris County","GA","Metro",48.3
"744","Grundy County","IA","Metro",62
"745","Muscatine County","IA","Non-metro",60.7
"746","Nez Perce County","ID","Metro",56
"747","Fayette County","IN","Non-metro",40
"748","Kearny County","KS","Non-metro",53.5
"749","Graves County","KY","Non-metro",45.6
"750","Hardin County","KY","Metro",62.8
"751","Lyon County","KY","Non-metro",58.3
"752","Tangipahoa Parish","LA","Metro",46.5
"753","Unknown County","LA","",NA
"754","Benzie County","MI","Non-metro",62.9
"755","Rice County","MN","Non-metro",63.1
"756","Washington County","MN","Metro",70.4
"757","Wilkin County","MN","Non-metro",53.9
"758","Carter County","MO","Non-metro",32.6
"759","Clark County","MO","Non-metro",31.1
"760","Clay County","MO","Metro",54
"761","Dent County","MO","Non-metro",34.1
"762","Ozark County","MO","Non-metro",31.4
"763","Bertie County","NC","Non-metro",52.1
"764","Iredell County","NC","Metro",52.7
"765","Rockingham County","NC","Metro",50.3
"766","Sioux County","ND","Metro",59.8
"767","Wayne County","NE","Non-metro",41.5
"768","Rockland County","NY","Metro",64.1
"769","Sullivan County","NY","Non-metro",60.8
"770","Lake County","OH","Metro",65.5
"771","Preble County","OH","Non-metro",43.1
"772","Crook County","OR","Non-metro",51
"773","Cambria County","PA","Metro",56
"774","Columbia County","PA","Metro",61.8
"775","Lancaster County","PA","Metro",59.4
"776","Franklin County","TN","Non-metro",41.3
"777","Giles County","TN","Non-metro",39.3
"778","Grundy County","TN","Non-metro",30.6
"779","Deaf Smith County","TX","Non-metro",43.4
"780","Hardeman County","TX","Non-metro",46.3
"781","Culpeper County","VA","Metro",48.2
"782","Washington County","VA","Metro",57.4
"783","Norton city","VA","Non-metro",31.2
"784","Unknown County","VI","",NA
"785","Orleans County","VT","Non-metro",58.8
"786","Clark County","WI","Non-metro",37.6
"787","Raleigh County","WV","Metro",53.9
"788","Autauga County","AL","Metro",44.1
"789","Marengo County","AL","Non-metro",54.3
"790","Calhoun County","AR","Non-metro",37.1
"791","Conway County","AR","Non-metro",53.7
"792","Marin County","CA","Metro",88.5
"793","Nevada County","CA","Non-metro",63.7
"794","Yuba County","CA","Metro",54.2
"795","Lake County","FL","Metro",65.8
"796","St. Johns County","FL","Metro",70.2
"797","Clayton County","GA","Metro",43.5
"798","Fayette County","GA","Metro",62.1
"799","Thomas County","GA","Non-metro",48.9
"800","Towns County","GA","Non-metro",48.6
"801","Buchanan County","IA","Non-metro",53.6
"802","Wilson County","KS","Non-metro",43.9
"803","Boone County","KY","Metro",62.2
"804","Marion County","KY","Non-metro",50.4
"805","Baltimore County","MD","Metro",72.5
"806","Oxford County","ME","Non-metro",68
"807","Penobscot County","ME","Metro",71.1
"808","Blue Earth County","MN","Metro",60.7
"809","Maries County","MO","Non-metro",43.8
"810","Stoddard County","MO","Non-metro",39.7
"811","Covington County","MS","Non-metro",51.4
"812","DeSoto County","MS","Metro",54.4
"813","Humphreys County","MS","Non-metro",58.8
"814","Quitman County","MS","Non-metro",53.9
"815","Tippah County","MS","Non-metro",42
"816","Yellowstone County","MT","Metro",51.6
"817","Anson County","NC","Non-metro",46.3
"818","Sampson County","NC","Non-metro",51.5
"819","McKenzie County","ND","Non-metro",22
"820","Traill County","ND","Non-metro",53.7
"821","Hudson County","NJ","Metro",77.7
"822","Greene County","NY","Non-metro",62.5
"823","Madison County","OH","Metro",51.1
"824","Klamath County","OR","Non-metro",50.6
"825","Cumberland County","PA","Metro",69.7
"826","Fulton County","PA","Non-metro",35.9
"827","Comerio Municipio","PR","Metro",74.2
"828","Florence County","SC","Metro",54.9
"829","Aurora County","SD","Non-metro",54.6
"830","Bennett County","SD","Non-metro",59
"831","Brown County","SD","Non-metro",56.6
"832","Union County","SD","Metro",51.5
"833","Van Buren County","TN","Non-metro",58.5
"834","Chambers County","TX","Metro",48
"835","DeWitt County","TX","Non-metro",45.4
"836","Milam County","TX","Non-metro",45.8
"837","Yoakum County","TX","Non-metro",40.3
"838","Utah County","UT","Metro",57.6
"839","Gloucester County","VA","Metro",63
"840","Wythe County","VA","Non-metro",39.2
"841","Essex County","VT","Non-metro",39.9
"842","Adams County","WA","Non-metro",60
"843","Grays Harbor County","WA","Non-metro",61
"844","Rock County","WI","Metro",69.2
"845","Marion County","WV","Non-metro",57
"846","Wetzel County","WV","Non-metro",57.2
"847","Petersburg Census Area","AK","Non-metro",75.9
"848","Macon County","AL","Non-metro",47.9
"849","Perry County","AL","Non-metro",48.6
"850","Lafayette County","AR","Non-metro",41.8
"851","Washington County","AR","Metro",55.5
"852","Del Norte County","CA","Non-metro",43.3
"853","Imperial County","CA","Metro",92.6
"854","Mesa County","CO","Metro",49.8
"855","Hartford County","CT","Metro",75.7
"856","Bartow County","GA","Metro",37.3
"857","Screven County","GA","Non-metro",48.2
"858","Toombs County","GA","Non-metro",41.9
"859","Lewis County","ID","Non-metro",52.3
"860","Johnson County","IL","Non-metro",52.3
"861","McDonough County","IL","Non-metro",47.9
"862","Wabash County","IN","Non-metro",41.2
"863","Atchison County","KS","Non-metro",46.6
"864","Cheyenne County","KS","Non-metro",45.9
"865","Franklin County","KS","Non-metro",51.2
"866","Phillips County","KS","Non-metro",43.2
"867","Carter County","KY","Non-metro",49.2
"868","Floyd County","KY","Non-metro",57.1
"869","Jefferson Parish","LA","Metro",65.3
"870","Lincoln Parish","LA","Non-metro",43.2
"871","St. Helena Parish","LA","Metro",31.5
"872","Lenawee County","MI","Non-metro",52.9
"873","Hubbard County","MN","Non-metro",47.3
"874","Nicollet County","MN","Metro",62.6
"875","Carter County","MT","Non-metro",31.1
"876","Meagher County","MT","Non-metro",50.4
"877","Phillips County","MT","Non-metro",43.8
"878","Hoke County","NC","Metro",40.8
"879","Yancey County","NC","Non-metro",51.6
"880","Monmouth County","NJ","Metro",68.1
"881","Chautauqua County","NY","Non-metro",59.2
"882","Nowata County","OK","Non-metro",43.7
"883","Gilliam County","OR","Non-metro",45
"884","Naguabo Municipio","PR","Metro",63.1
"885","Unknown County","PW","",NA
"886","Pickens County","SC","Metro",46.6
"887","Davidson County","TN","Metro",65.1
"888","Dimmit County","TX","Non-metro",72.5
"889","Galax city","VA","Non-metro",37.4
"890","Fond du Lac County","WI","Metro",55.7
"891","Ritchie County","WV","Non-metro",49.4
"892","Summers County","WV","Non-metro",63.1
"893","Highlands County","FL","Metro",52.3
"894","Unknown County","FM","",NA
"895","Carroll County","GA","Metro",37.8
"896","Habersham County","GA","Non-metro",40.1
"897","Guam","GU","",61.9
"898","Boone County","IA","Non-metro",64.5
"899","Webster County","IA","Non-metro",57.6
"900","Butte County","ID","Metro",49.2
"901","Custer County","ID","Non-metro",47.4
"902","Alexander County","IL","Metro",33.2
"903","Blackford County","IN","Non-metro",46.6
"904","Parke County","IN","Non-metro",39.5
"905","Posey County","IN","Metro",47.4
"906","Steuben County","IN","Non-metro",47.4
"907","Tipton County","IN","Non-metro",45.1
"908","Carroll County","KY","Non-metro",46.6
"909","Mercer County","KY","Non-metro",54.5
"910","Claiborne Parish","LA","Non-metro",40.9
"911","Sagadahoc County","ME","Metro",79.7
"912","Lake County","MI","Non-metro",64
"913","Leelanau County","MI","Non-metro",82
"914","Ottawa County","MI","Metro",57.6
"915","Cass County","MN","Non-metro",56.9
"916","Jackson County","MN","Non-metro",50.9
"917","Cole County","MO","Metro",52.7
"918","New Madrid County","MO","Non-metro",33.6
"919","Sullivan County","MO","Non-metro",43.3
"920","Clay County","MS","Non-metro",46.6
"921","Winston County","MS","Non-metro",48
"922","Chatham County","NC","Metro",62.5
"923","Franklin County","NC","Metro",51.8
"924","Person County","NC","Metro",56.3
"925","Arthur County","NE","Non-metro",19.7
"926","Nance County","NE","Non-metro",28.8
"927","Union County","NM","Non-metro",44.7
"928","Fulton County","NY","Non-metro",54.4
"929","Oswego County","NY","Metro",59.4
"930","Cuyahoga County","OH","Metro",64.9
"931","Geauga County","OH","Metro",61.3
"932","Marion County","OH","Non-metro",48.2
"933","Sandusky County","OH","Non-metro",52.7
"934","Hood River County","OR","Non-metro",84.9
"935","Lane County","OR","Metro",67.5
"936","Union County","PA","Non-metro",57.4
"937","Franklin County","TX","Non-metro",37.1
"938","Runnels County","TX","Non-metro",44.5
"939","Terrell County","TX","Non-metro",53.1
"940","Zavala County","TX","Non-metro",57.2
"941","Carbon County","UT","Non-metro",49.8
"942","Albemarle County","VA","Metro",64.8
"943","Carroll County","VA","Non-metro",32.9
"944","Fayette County","WV","Metro",55.7
"945","Sheridan County","WY","Non-metro",52.9
"946","Juneau City and Borough","AK","Non-metro",76.8
"947","Valdez-Cordova Census Area","AK","",62.9
"948","Unknown County","AL","",NA
"949","Santa Cruz County","CA","Metro",78.4
"950","Unknown County","CO","",NA
"951","Vigo County","IN","Metro",49.6
"952","McPherson County","KS","Non-metro",55.5
"953","Stanton County","KS","Non-metro",50.9
"954","Sumner County","KS","Metro",43.4
"955","Lincoln County","KY","Non-metro",40.9
"956","Trimble County","KY","Metro",43.7
"957","East Carroll Parish","LA","Non-metro",46.4
"958","Natchitoches Parish","LA","Non-metro",43.3
"959","Watonwan County","MN","Non-metro",58.5
"960","Laclede County","MO","Non-metro",37.4
"961","Livingston County","MO","Non-metro",42.9
"962","Saline County","MO","Non-metro",46.6
"963","Hancock County","MS","Metro",44.3
"964","Itawamba County","MS","Non-metro",34.7
"965","Montgomery County","MS","Non-metro",55.7
"966","Noxubee County","MS","Non-metro",55.2
"967","Cabarrus County","NC","Metro",57.1
"968","Davidson County","NC","Metro",47.8
"969","Richmond County","NC","Non-metro",47.7
"970","Cherry County","NE","Non-metro",34.8
"971","Dodge County","NE","Non-metro",54.1
"972","Furnas County","NE","Non-metro",44.7
"973","Pierce County","NE","Non-metro",37.3
"974","Unknown County","NV","",NA
"975","Ontario County","NY","Metro",68.3
"976","Richmond County","NY","Metro",74
"977","Coshocton County","OH","Non-metro",38.8
"978","Gallia County","OH","Non-metro",46.7
"979","Greene County","OH","Metro",62.9
"980","Paulding County","OH","Non-metro",42.2
"981","Adair County","OK","Non-metro",36.4
"982","Carbon County","PA","Metro",60.6
"983","Forest County","PA","Non-metro",71.8
"984","Aguadilla Municipio","PR","Metro",80
"985","Vieques Municipio","PR","Non-metro",86.1
"986","Oglala Lakota County","SD","Non-metro",78.9
"987","Tripp County","SD","Non-metro",44.7
"988","Crockett County","TX","Non-metro",47.6
"989","Galveston County","TX","Metro",60.1
"990","Hill County","TX","Non-metro",41.2
"991","Kaufman County","TX","Metro",52.3
"992","Emery County","UT","Non-metro",46.1
"993","Chesterfield County","VA","Metro",56.6
"994","Manassas city","VA","Metro",48.2
"995","Yakima County","WA","Metro",62.4
"996","Racine County","WI","Metro",60.8
"997","Logan County","WV","Non-metro",56.3
"998","Albany County","WY","Non-metro",56.3
"999","Pickens County","AL","Metro",49.5
"1000","Greene County","AR","Non-metro",43.1
"1001","Plumas County","CA","Non-metro",NA
"1002","Clay County","GA","Non-metro",63.7
"1003","Appanoose County","IA","Non-metro",47.4
"1004","Butler County","IA","Non-metro",57.4
"1005","Henry County","IA","Non-metro",53.8
"1006","Marion County","IA","Non-metro",53
"1007","Lee County","IL","Non-metro",59.8
"1008","Stephenson County","IL","Non-metro",61
"1009","Middlesex County","MA","Metro",79.3
"1010","Howard County","MD","Metro",85.6
"1011","Unknown County","MD","",NA
"1012","Anoka County","MN","Metro",59.3
"1013","St. Louis County","MN","Metro",66.6
"1014","Marion County","MO","Non-metro",42
"1015","Shelby County","MO","Non-metro",46.9
"1016","Fallon County","MT","Non-metro",34.5
"1017","Warren County","NC","Non-metro",55.6
"1018","Golden Valley County","ND","Non-metro",30.2
"1019","Pembina County","ND","Non-metro",55.5
"1020","Carroll County","NH","Non-metro",71.2
"1021","Clark County","NV","Metro",57.5
"1022","Madison County","NY","Metro",61
"1023","Oneida County","NY","Metro",62.8
"1024","Rensselaer County","NY","Metro",70.5
"1025","Lares Municipio","PR","Metro",94.6
"1026","Luquillo Municipio","PR","Metro",71.4
"1027","Day County","SD","Non-metro",65.2
"1028","Brown County","TX","Non-metro",41.8
"1029","Coleman County","TX","Non-metro",37.1
"1030","Jones County","TX","Metro",44.4
"1031","Martin County","TX","Metro",31.7
"1032","Mills County","TX","Non-metro",47.5
"1033","Oldham County","TX","Metro",35.6
"1034","Stephens County","TX","Non-metro",37
"1035","Wilson County","TX","Metro",55.2
"1036","Buchanan County","VA","Non-metro",47.9
"1037","Rockbridge County","VA","Non-metro",46.1
"1038","Russell County","VA","Non-metro",47
"1039","Unknown County","VT","",NA
"1040","Pierce County","WA","Metro",65.5
"1041","Pendleton County","WV","Non-metro",58.7
"1042","Randolph County","WV","Non-metro",54.5
"1043","Summit County","CO","Non-metro",84.6
"1044","Gadsden County","FL","Metro",58
"1045","Echols County","GA","Metro",31.1
"1046","Pierce County","GA","Non-metro",33.3
"1047","Spalding County","GA","Metro",40.4
"1048","Taliaferro County","GA","Non-metro",50.7
"1049","Whitfield County","GA","Metro",43.3
"1050","Decatur County","IA","Non-metro",41
"1051","Clinton County","IL","Metro",59.8
"1052","Logan County","IL","Non-metro",54.2
"1053","Macoupin County","IL","Metro",54.9
"1054","Tazewell County","IL","Metro",59.2
"1055","Lake County","IN","Metro",56.5
"1056","Starke County","IN","Non-metro",37.2
"1057","Jewell County","KS","Non-metro",46.6
"1058","Henderson County","KY","Metro",51
"1059","Jackson Parish","LA","Non-metro",42.7
"1060","Winn Parish","LA","Non-metro",47.4
"1061","Matanuska-Susitna Borough","AK","Metro",40.6
"1062","Dale County","AL","Non-metro",47.9
"1063","Wilcox County","AL","Non-metro",53.8
"1064","Jackson County","AR","Non-metro",38.9
"1065","Pima County","AZ","Metro",68.9
"1066","San Diego County","CA","Metro",75.1
"1067","San Joaquin County","CA","Metro",58.7
"1068","Nassau County","FL","Metro",57.5
"1069","Bryan County","GA","Metro",53.9
"1070","Coffee County","GA","Non-metro",37.2
"1071","Muscogee County","GA","Metro",44.6
"1072","Taylor County","GA","Non-metro",45.6
"1073","Shelby County","IA","Non-metro",59.1
"1074","Cook County","IL","Metro",72.6
"1075","Jackson County","IL","Metro",52.3
"1076","Knox County","IL","Non-metro",59.2
"1077","Wayne County","IL","Non-metro",39.4
"1078","Ohio County","IN","Metro",75.5
"1079","Pulaski County","IN","Non-metro",45.4
"1080","Comanche County","KS","Non-metro",45.9
"1081","Dickinson County","KS","Non-metro",56.3
"1082","Hopkins County","KY","Non-metro",51.7
"1083","Leslie County","KY","Non-metro",52.1
"1084","Allen Parish","LA","Non-metro",36
"1085","Norfolk County","MA","Metro",78.9
"1086","Mecosta County","MI","Non-metro",41.9
"1087","Kanabec County","MN","Non-metro",42.9
"1088","Le Sueur County","MN","Metro",49.2
"1089","Swift County","MN","Non-metro",57.8
"1090","Newton County","MO","Metro",25.8
"1091","Platte County","MO","Metro",56.9
"1092","Worth County","MO","Non-metro",41.1
"1093","Sunflower County","MS","Non-metro",53.2
"1094","Lincoln County","MT","Non-metro",35.2
"1095","Park County","MT","Non-metro",58.6
"1096","Wheatland County","MT","Non-metro",35.9
"1097","Burke County","NC","Metro",47.2
"1098","Washington County","NC","Non-metro",50.3
"1099","Barnes County","ND","Non-metro",57
"1100","Gosper County","NE","Non-metro",40
"1101","Thurston County","NE","Non-metro",75.2
"1102","Latimer County","OK","Non-metro",34.4
"1103","Texas County","OK","Non-metro",44.5
"1104","Unknown County","OK","",NA
"1105","Bibb County","AL","Metro",34.7
"1106","Choctaw County","AL","Non-metro",66.2
"1107","Jefferson County","AR","Metro",44.5
"1108","Mono County","CA","Non-metro",NA
"1109","Archuleta County","CO","Non-metro",57.3
"1110","Martin County","FL","Metro",63.5
"1111","Lincoln County","OR","Non-metro",71
"1112","Wallowa County","OR","Non-metro",59.1
"1113","Santa Isabel Municipio","PR","Non-metro",73.6
"1114","Douglas County","SD","Non-metro",52.1
"1115","Kingsbury County","SD","Non-metro",67.6
"1116","Hays County","TX","Metro",62.6
"1117","Hopkins County","TX","Non-metro",39.4
"1118","Morris County","TX","Non-metro",43.1
"1119","San Jacinto County","TX","Non-metro",34.5
"1120","Sterling County","TX","Non-metro",40.8
"1121","Washington County","TX","Non-metro",50.6
"1122","Accomack County","VA","Non-metro",73.2
"1123","Fairfax County","VA","Metro",76.6
"1124","Goochland County","VA","Metro",65.9
"1125","Fredericksburg city","VA","Metro",40
"1126","Wayne County","WV","Metro",54
"1127","Carbon County","WY","Non-metro",46.1
"1128","Park County","WY","Non-metro",46.2
"1129","Hoonah-Angoon Census Area","AK","Non-metro",70.1
"1130","Monroe County","AL","Non-metro",43.6
"1131","Ouachita County","AR","Non-metro",54.3
"1132","Kings County","CA","Metro",50.3
"1133","Montezuma County","CO","Non-metro",68.9
"1134","Hamilton County","FL","Non-metro",34.8
"1135","Jasper County","GA","Metro",34.8
"1136","Maui County","HI","Metro",NA
"1137","Cherokee County","IA","Non-metro",52.9
"1138","Bureau County","IL","Non-metro",56.8
"1139","Henry County","IL","Metro",58.9
"1140","Kane County","IL","Metro",67.3
"1141","LaPorte County","IN","Metro",56.1
"1142","Edwards County","KS","Non-metro",48.5
"1143","Hodgeman County","KS","Non-metro",44.5
"1144","Pulaski County","KY","Non-metro",46.3
"1145","Robertson County","KY","Non-metro",38.5
"1146","Luce County","MI","Non-metro",44.7
"1147","Macomb County","MI","Metro",56.8
"1148","Osceola County","MI","Non-metro",42.1
"1149","Dakota County","MN","Metro",69.6
"1150","Chariton County","MO","Non-metro",37.9
"1151","Mercer County","MO","Non-metro",35.7
"1152","Shannon County","MO","Non-metro",30.6
"1153","Jefferson County","MT","Non-metro",50.3
"1154","Gates County","NC","Metro",53.3
"1155","Haywood County","NC","Metro",57.7
"1156","Pasquotank County","NC","Non-metro",54.4
"1157","Franklin County","NE","Non-metro",38.6
"1158","Sarpy County","NE","Metro",66
"1159","Curry County","NM","Non-metro",53.4
"1160","Douglas County","NV","Non-metro",51.2
"1161","Wyoming County","NY","Non-metro",51.4
"1162","Ashland County","OH","Non-metro",43.2
"1163","Belmont County","OH","Metro",48.1
"1164","Chester County","PA","Metro",77.8
"1165","Tioga County","PA","Non-metro",46.3
"1166","Ceiba Municipio","PR","Metro",77.5
"1167","Beaufort County","SC","Metro",64.8
"1168","Jasper County","SC","Metro",37.3
"1169","Richland County","SC","Metro",58.9
"1170","Lincoln County","SD","Metro",58.9
"1171","Moody County","SD","Non-metro",49.3
"1172","Trousdale County","TN","Metro",36.9
"1173","Freestone County","TX","Non-metro",38.9
"1174","McCulloch County","TX","Non-metro",38.6
"1175","Tom Green County","TX","Metro",50.5
"1176","Roanoke County","VA","Metro",49.2
"1177","Iron County","WI","Non-metro",66.5
"1178","St. Croix County","WI","Metro",50.2
"1179","Fayette County","AL","Non-metro",35
"1180","Lamar County","AL","Non-metro",43.9
"1181","Graham County","AZ","Non-metro",63.7
"1182","Litchfield County","CT","Non-metro",75.6
"1183","Baldwin County","GA","Non-metro",44.1
"1184","Evans County","GA","Non-metro",40.7
"1185","Quitman County","GA","Non-metro",33.1
"1186","Union County","IA","Non-metro",51.2
"1187","Idaho County","ID","Non-metro",30.7
"1188","Hamilton County","IL","Non-metro",39.1
"1189","Macon County","IL","Metro",53.4
"1190","Ogle County","IL","Non-metro",58
"1191","Putnam County","IN","Metro",42.6
"1192","Pratt County","KS","Non-metro",49.1
"1193","Rockcastle County","KY","Non-metro",40.4
"1194","Warren County","KY","Metro",38.6
"1195","Madison Parish","LA","Non-metro",45.7
"1196","Hancock County","ME","Non-metro",76.7
"1197","Unknown County","MH","",NA
"1198","Hillsdale County","MI","Non-metro",38.6
"1199","Midland County","MI","Metro",59
"1200","Carlton County","MN","Metro",64.5
"1201","Pennington County","MN","Non-metro",53.6
"1202","St. Louis city","MO","Metro",58.6
"1203","Unknown County","MP","",NA
"1204","Unknown County","MT","",NA
"1205","Carteret County","NC","Non-metro",64.5
"1206","Perquimans County","NC","Non-metro",48.6
"1207","Griggs County","ND","Non-metro",46.2
"1208","Renville County","ND","Non-metro",38.5
"1209","Frontier County","NE","Non-metro",27.6
"1210","Merrick County","NE","Metro",43.6
"1211","Strafford County","NH","Metro",62
"1212","Quay County","NM","Non-metro",49.9
"1213","Allegany County","NY","Non-metro",44.3
"1214","Columbia County","NY","Non-metro",74.5
"1215","Miami County","OH","Metro",47.6
"1216","Harmon County","OK","Non-metro",49.2
"1217","Guayama Municipio","PR","Metro",72.8
"1218","Toa Alta Municipio","PR","Metro",69.5
"1219","Vega Baja Municipio","PR","Metro",84.6
"1220","Campbell County","SD","Non-metro",46.9
"1221","Lawrence County","SD","Non-metro",57.3
"1222","McPherson County","SD","Non-metro",40.3
"1223","Todd County","SD","Non-metro",69.9
"1224","Knox County","TN","Metro",60.1
"1225","Lynn County","TX","Metro",39.3
"1226","Upshur County","TX","Metro",34.2
"1227","Duchesne County","UT","Non-metro",44.9
"1228","Summit County","UT","Non-metro",88.3
"1229","Fauquier County","VA","Metro",64.4
"1230","Unknown County","VA","",NA
"1231","Outagamie County","WI","Metro",64.3
"1232","Grant County","WV","Non-metro",44.9
"1233","Hot Springs County","WY","Non-metro",49.9
"1234","Fairbanks North Star Borough","AK","Metro",59.8
"1235","Yakutat City and Borough","AK","Non-metro",78.6
"1236","Bullock County","AL","Non-metro",53.3
"1237","Houston County","AL","Metro",43.2
"1238","Logan County","AR","Non-metro",46.9
"1239","Phillips County","AR","Non-metro",49.8
"1240","Madera County","CA","Metro",53.9
"1241","Unknown County","CA","",NA
"1242","Cheyenne County","CO","Non-metro",33.1
"1243","Broward County","FL","Metro",71.3
"1244","Calhoun County","GA","Non-metro",48.4
"1245","Greene County","GA","Non-metro",54.4
"1246","Houston County","GA","Metro",50.5
"1247","Newton County","GA","Metro",42.1
"1248","Black Hawk County","IA","Metro",60.1
"1249","Dickinson County","IA","Non-metro",58.2
"1250","Sac County","IA","Non-metro",52.7
"1251","Effingham County","IL","Non-metro",49
"1252","White County","IL","Non-metro",52
"1253","Chautauqua County","KS","Non-metro",41.3
"1254","Haskell County","KS","Non-metro",39.1
"1255","Clinton County","KY","Non-metro",40.8
"1256","McLean County","KY","Metro",51
"1257","Orleans Parish","LA","Metro",69.8
"1258","Lincoln County","ME","Non-metro",80.7
"1259","Freeborn County","MN","Non-metro",57.6
"1260","Houston County","MN","Metro",59.1
"1261","Nobles County","MN","Non-metro",61.3
"1262","Ramsey County","MN","Metro",71.7
"1263","Bollinger County","MO","Metro",33.1
"1264","Jefferson County","MO","Metro",44.8
"1265","Attala County","MS","Non-metro",54.2
"1266","Washington County","NE","Metro",56.2
"1267","Camden County","NJ","Metro",68.9
"1268","Broome County","NY","Metro",63.6
"1269","Fairfield County","OH","Metro",57.5
"1270","Perry County","OH","Metro",40.9
"1271","Indiana County","PA","Non-metro",45.7
"1272","McKean County","PA","Non-metro",49.4
"1273","Perry County","PA","Metro",48.9
"1274","Somerset County","PA","Non-metro",48.4
"1275","Loiza Municipio","PR","Metro",60.1
"1276","Newberry County","SC","Non-metro",52.4
"1277","Humphreys County","TN","Non-metro",41.4
"1278","Loudon County","TN","Metro",63.8
"1279","Wayne County","TN","Non-metro",40.9
"1280","Coryell County","TX","Metro",61
"1281","Denton County","TX","Metro",61.5
"1282","Amherst County","VA","Metro",46.6
"1283","Essex County","VA","Non-metro",46
"1284","Chippewa County","WI","Metro",56.9
"1285","Doddridge County","WV","Non-metro",59.6
"1286","Monroe County","WV","Non-metro",48.7
"1287","Tyler County","WV","Non-metro",42.1
"1288","Converse County","WY","Non-metro",34.2
"1289","Washakie County","WY","Non-metro",43.8
"1290","Yell County","AR","Non-metro",48.8
"1291","Apache County","AZ","Non-metro",95
"1292","Humboldt County","CA","Non-metro",65.8
"1293","Hinsdale County","CO","Non-metro",64.3
"1294","Jefferson County","CO","Metro",77.4
"1295","Bradford County","FL","Non-metro",44.4
"1296","Sumter County","FL","Metro",79.9
"1297","Unknown County","FL","",NA
"1298","Putnam County","GA","Non-metro",43.2
