"","country","latitude","longitude"
"1","American Samoa",-14.3057119877705,-170.70073161745
"2","United States Minor Outlying Islands",15.4211242156145,-61.9849355720748
"3","Cook Islands",-17.4353700301302,-161.465133304837
"4","French Polynesia",-13.5263167396066,-145.255376012188
"5","Niue",-19.0523092168039,-169.868781066991
"6","Pitcairn",-24.6538069190257,-129.033489767943
"7","Samoa",-13.7607512523878,-172.145882100183
"8","Tokelau",-9.19517476725654,-171.852659507227
"9","Tonga",-20.0592509350529,-174.682176519342
"10","Wallis and Futuna",-13.7925719946,-177.162999927831
"11","El Salvador",13.7580415170554,-88.8591148923899
"12","Guatemala",15.8208785153527,-90.3121934911962
"13","Mexico",23.643948434268,-103.120439371767
"14","Canada",62.3658719808934,-93.566634661058
"15","Argentina",-37.6056445252525,-64.4431516743528
"16","Falkland Islands",-51.7520904300558,-59.5178125154269
"17","Chile",-34.3282375613003,-81.2554503446457
"18","Ecuador",-1.2980654335323,-82.3389759590806
"19","Peru",-8.52271798424029,-74.1141619678188
"20","Bolivia",-16.7312488393574,-64.4520959751121
"21","Brazil",-11.5246304164267,-54.3552066082564
"22","Paraguay",-23.4219055925943,-58.3890635742865
"23","Uruguay",-32.7819504383109,-56.0191952345808
"24","South Georgia and South Sandwich Islands",-55.7946786152363,-33.0848623159107
"25","Antarctica",-76.4855136383415,-173.957122161842
"26","Fiji",-17.6205242670057,178.695172915376
"27","Saint Helena",-15.9629633183404,-5.71739162081311
"28","Anguilla",18.2228740042191,-63.0600834377181
"29","Antigua and Barbuda",17.3218835862272,-61.7918700297888
"30","Aruba",12.5156257229929,-69.9756401428405
"31","Bahamas",23.9719808447216,-75.9475704926376
"32","Barbados",13.1832193693375,-59.5573839491503
"33","Belize",17.2945936892639,-88.5802147985989
"34","Bermuda",32.3150674307407,-64.7458500599169
"35","Bonaire",12.1808449824403,-68.2935044595876
"36","British Virgin Islands",18.4466279828583,-64.5174186635908
"37","Cayman Islands",19.3112318056203,-81.2520320897788
"38","Colombia",5.29423461043587,-73.8458251770703
"39","Costa Rica",9.86346740740621,-84.1467362570182
"40","Cuba",21.5003682099557,-79.6459652585029
"41","Curacao",12.1999966479398,-68.9693976859904
"42","Dominica",15.4292698609405,-61.360471946943
"43","Dominican Republic",18.7554259962832,-70.4047597371691
"44","French Guiana",3.85742974249708,-53.3223230715662
"45","Grenada",12.1129266563389,-61.679379372041
"46","Guadeloupe",16.1688015434676,-61.4799993148915
"47","Guyana",4.68211981385056,-58.9135261275467
"48","Haiti",18.9117686346855,-72.8862271382651
"49","Honduras",14.8144336112471,-86.4818928458523
"50","Jamaica",18.1220788934165,-77.3035889454278
"51","Martinique",14.6426973535976,-61.0143238087508
"52","Montserrat",16.7353633914604,-62.1869328125626
"53","Nicaragua",12.8935666319306,-85.016088327669
"54","Panama",8.4223118461437,-80.1759017554306
"55","Puerto Rico",18.2104178901877,-66.416588433247
"56","Saba",17.6325126163897,-63.2373948190949
"57","Saint Barthelemy",17.9056169124174,-62.8305161000516
"58","Saint Eustatius",17.4919042294197,-62.978230589445
"59","Saint Kitts and Nevis",17.3147362995878,-62.7456038589579
"60","Saint Lucia",13.8957491851299,-60.9689510935251
"61","Saint Martin",18.0780121132245,-63.0667852536195
"62","Saint Pierre and Miquelon",46.9169072305382,-56.2937751318738
"63","Saint Vincent and the Grenadines",13.2548081229707,-61.193766354393
"64","Sint Maarten",18.0394260846308,-63.068831359153
