"","country","latitude","longitude"
"151","Syria",35.0975110605832,38.5117323139514
"152","Turkey",39.0909722528442,35.09557205929
"153","Uganda",1.28217292184162,32.3437176846312
"154","Andorra",42.5485983485476,1.58022436112329
"155","United States",42.4642718690494,-127.763857440904
"156","France",46.2041093034039,2.9361781319582
"157","Liechtenstein",47.1462756213304,9.54767467237638
"158","Monaco",43.7479822499566,7.4128208732712
"159","Switzerland",46.7367812868494,8.28692879489529
"160","Belgium",50.6182138854095,4.67501015469649
"161","Germany",51.1492815853188,10.4615912490351
"162","Luxembourg",49.7752345454237,6.10323033845888
"163","Netherlands",52.1375151853951,5.4745768526276
"164","Albania",41.1416589489166,20.0610827672695
"165","Austria",47.6318582698958,13.797778364631
"166","Bosnia and Herzegovina",44.1441535612643,17.8346724078754
"167","Croatia",44.6493147219595,16.7828184112277
"168","Czech Republic",49.7491737093098,15.3832732920235
"169","Denmark",55.915553126522,11.0021124760049
"170","Hungary",47.2252733248629,19.3962004836614
"171","Italy",41.9959918466081,12.2466959269429
"172","Montenegro",42.7369483521045,19.2950508715676
"173","Poland",52.0684805569247,19.4357327923447
"174","San Marino",43.9428207290979,12.4612783495817
"175","Serbia",44.0267987013197,20.8567744439574
"176","Slovakia",48.6980839052048,19.581015362491
"177","Slovenia",46.137592295645,14.8906368999738
"178","North Macedonia",41.5940289014311,21.7099892387277
"179","Vatican City",41.9040235131674,12.4513129170261
"180","Norway",65.1871108853754,16.463696137046
"181","Sweden",62.4654115120591,17.277289833215
"182","Belarus",53.4679137454316,27.9642520547151
"183","Bulgaria",42.8204367730244,25.2517391225619
"184","Estonia",58.5775695380077,25.2364054243738
"185","Finland",64.8135638101837,25.1965963801953
"186","Georgia",42.1798627773723,43.3788665341122
"187","Latvia",56.8138530475542,24.6936713256544
"188","Lithuania",55.2890402836528,23.8893709781744
"189","Moldova",47.0725674580696,28.3911118659413
"190","Romania",45.8245489439759,25.0941582015633
"191","Ukraine",48.6575325155638,31.2737720844264
"192","Afghanistan",34.1340260137693,66.5921613109528
"193","Bahrain",25.9644346666866,50.6209402688033
"194","India",20.68839364363,82.8337523698598
"195","Iran",32.9060237428901,54.2370770010654
"196","Kuwait",29.3065719412247,47.6314138402099
"197","Maldives",3.23911538394093,73.2387826057087
"198","Nepal",28.3009206997557,84.1338898313567
"199","Oman",21.0808146806953,55.8970304377717
"200","Pakistan",30.1161883714109,69.0883509076965
"201","Qatar",25.3185284864254,51.197949187432
"202","Saudi Arabia",24.0754760848309,44.5471429686161
"203","Somalia",6.52453457310392,45.4003786724397
"204","Sri Lanka",7.71958621373421,80.6537639129039
"205","Tajikistan",38.5693313838297,70.942152810657
"206","Turkmenistan",39.0606911800143,58.4577357627054
"207","United Arab Emirates",24.1825029230913,54.2792052578958
"208","Yemen",15.2505982691395,48.4712149337138
"209","Armenia",40.1784127423068,45.0549083196526
"210","Azerbaijan",40.3349763426367,48.3983051433384
"211","Kazakhstan",47.6414651951768,66.3759193479301
"212","Kyrgyzstan",41.3569890543836,74.1753290346832
"213","Uzbekistan",41.4879065244633,63.8548297593985
"214","Christmas Island",-10.4464408021834,105.702095122005
"215","Cocos Islands",-12.1712494501995,96.83688767323
"216","Indonesia",-2.30793335446324,118.735860572332
"217","Timor-Leste",-8.79883964694167,125.668173977829
"218","Australia",-30.1341602798584,137.116564340749
"219","Nauru",-0.522102144066899,166.929376331392
"220","New Caledonia",-21.2538903489854,166.275944996062
"221","Norfolk Island",-29.0376544450463,167.952595974833
"222","Papua New Guinea",-6.43001599662648,148.180395914076
"223","Solomon Islands",-9.76023706577852,160.966634617139
"224","Tuvalu",-7.07758726489965,177.790863246037
"225","Vanuatu",-16.4796583268605,168.034014970435
"226","Cambodia",12.6991868655078,105.039730786807
"227","Laos",18.1172827368733,103.763758990264
"228","Malaysia",4.3043589782512,109.388254446858
"229","Myanmar",19.7773765841526,97.086915448075
"230","Singapore",1.35282518900063,103.810257576341
"231","Thailand",13.5964750254222,101.068606214756
"232","Vietnam",16.3742910503919,105.791103204542
"233","Bangladesh",23.673728665121,90.4321256260861
"234","Bhutan",27.4216393395982,90.4671664717386
"235","China",37.4586400797629,105.451205487843
"236","Brunei Darussalam",4.52456452989103,114.793624042276
"237","Philippines",10.8032504972878,121.869649346409
"238","South Korea",36.0523646371681,127.631387638515
"239","Mongolia",47.0864445460485,103.398736032746
"240","North Korea",40.1919809147084,127.337980565374
"241","Guam",13.4454304799453,144.780244582988
"242","Japan",35.8358034719683,135.44649610719
"243","Marshall Islands",10.0510544247498,167.471854273209
"244","Micronesia",6.16065174431316,160.419813077067
"245","Northern Mariana Islands",15.0901384933326,145.684687190237
"246","Palau",7.50758598516856,134.566640346028
"247","Russian Federation",61.4526429357732,98.969887718399
"248","Spain",40.0303854750613,-2.94296733609302
"249","Canarias",28.4192476247791,-15.9201366716264
